scenario_id,design_family,N,T,rho_Y,rho_D,rho_Z,sigma_alpha_Z,unit_effect_heterogeneity,estimator_id,estimator,beta_true,n_requested,n_success,n_failed,failure_rate,mean_estimate,bias,relative_bias,rmse,coverage,mean_delta_z,abs_delta_z,mean_abs_delta_z,bias_ge_abs_delta_z,mcse_bias,mcse_rmse,mcse_coverage,mcse_delta_z,mean_instrument_count,ar2_rejection_rate_05,hansen_rejection_rate_05
"P_N050_T10_RY20","principal",50,10,0.2,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,500,500,0,0,1.01800608928816,0.0180060892881564,0.0180060892881564,0.0485606605569611,0.936,-0.0311949462005037,0.0311949462005037,0.031212555586078,FALSE,0.00201890786875373,0.00156431658311732,0.0109456840809517,0.000588954114233995,NA,NA,NA
"P_N050_T10_RY20","principal",50,10,0.2,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,500,500,0,0,1.0230256169291,0.0230256169290956,0.0230256169290956,0.0580539577462657,0.916,-0.0369061582452154,0.0369061582452154,0.0369701731500627,FALSE,0.00238569676366797,0.00174198661202619,0.0124051602166195,0.000820625245282795,NA,NA,NA
"P_N050_T10_RY50","principal",50,10,0.5,0.5,0.5,0.5,"baseline","arellano_bond","Arellano-Bond sensitivity",1,500,500,0,0,1.01167805190893,0.0116780519089335,0.0116780519089335,0.266448883383363,0.986,-0.00166619057105442,0.00166619057105442,0.0810987234699733,TRUE,0.0119164283091453,0.0141896621599886,0.00525433154644813,0.00642963899200434,6,0.046,0.048
"P_N050_T10_RY50","principal",50,10,0.5,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,500,500,0,0,1.01301882897143,0.0130188289714299,0.0130188289714299,0.0465687227598527,0.944,-0.0291264019154696,0.0291264019154696,0.0292011315190112,FALSE,0.00200158055366728,0.00140194411100954,0.0102824121683582,0.000577077393238627,NA,NA,NA
"P_N050_T10_RY50","principal",50,10,0.5,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,500,500,0,0,1.03074944426777,0.0307494442677685,0.0307494442677685,0.0624588343138273,0.898,-0.0352162043734336,0.0352162043734336,0.0354326009302938,FALSE,0.00243372170240984,0.00178187350421088,0.0135348439222623,0.000804214375976561,NA,NA,NA
"P_N050_T10_RY80","principal",50,10,0.8,0.5,0.5,0.5,"baseline","arellano_bond","Arellano-Bond sensitivity",1,500,500,0,0,0.852173967616575,-0.147826032383425,-0.147826032383425,0.514934742569661,0.98,-0.0293290000667949,0.0293290000667949,0.21323466400933,TRUE,0.0220813423021755,0.0364839352183992,0.00626099033699941,0.0208297407102364,6,0.03,0.046
"P_N050_T10_RY80","principal",50,10,0.8,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,500,500,0,0,0.987072130546959,-0.0129278694530411,-0.0129278694530411,0.0466569290622955,0.946,-0.0296444918088919,0.0296444918088919,0.0297036516638027,FALSE,0.00200687157259157,0.00137772337422908,0.0101078187557949,0.000628980474101416,NA,NA,NA
"P_N050_T10_RY80","principal",50,10,0.8,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,500,500,0,0,1.02200812283652,0.0220081228365194,0.0220081228365194,0.0593988582432294,0.922,-0.036204108811107,0.036204108811107,0.0362820799048047,FALSE,0.0024698043742203,0.0017209403110342,0.0119929979571415,0.000868344532271193,NA,NA,NA
"P_N050_T15_RY20","principal",50,15,0.2,0.5,0.5,0.5,"baseline","arellano_bond","Arellano-Bond sensitivity",1,500,500,0,0,0.994275892492683,-0.00572410750731667,-0.00572410750731667,0.180706699162574,0.968,-0.00832925465458837,0.00832925465458837,0.0462318034833492,FALSE,0.00808548338159094,0.00602700301184248,0.00787095928079927,0.00285164216426965,6,0.042,0.05
"P_N050_T15_RY20","principal",50,15,0.2,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,500,500,0,0,1.00997887866234,0.00997887866233717,0.00997887866233717,0.0356888712114538,0.94,-0.0329132921273882,0.0329132921273882,0.0329132921273882,FALSE,0.00153392988750456,0.00121250755150149,0.0106207344378814,0.000436181640086235,NA,NA,NA
"P_N050_T15_RY20","principal",50,15,0.2,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,500,500,0,0,1.00629039437546,0.00629039437545561,0.00629039437545561,0.0384749730357419,0.96,-0.0376942274420433,0.0376942274420433,0.0376942274420433,FALSE,0.0016992008546648,0.00123578835247905,0.00876356092008266,0.000535764930064404,NA,NA,NA
"P_N050_T15_RY50","principal",50,15,0.5,0.5,0.5,0.5,"baseline","arellano_bond","Arellano-Bond sensitivity",1,500,500,0,0,1.01102507659017,0.0110250765901721,0.0110250765901721,0.17464449724877,0.944,-0.00273440097970927,0.00273440097970927,0.0376750424232163,TRUE,0.00780256729054997,0.00566668658252517,0.0102824121683582,0.002293166840348,6,0.048,0.054
"P_N050_T15_RY50","principal",50,15,0.5,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,500,500,0,0,1.01443860921892,0.0144386092189227,0.0144386092189227,0.0387947317823025,0.928,-0.0322770576954169,0.0322770576954169,0.0322770576954169,FALSE,0.00161192809396955,0.00120867733186419,0.0115599307956406,0.000465850777308063,NA,NA,NA
"P_N050_T15_RY50","principal",50,15,0.5,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,500,500,0,0,1.01642699229029,0.0164269922902907,0.0164269922902907,0.0444431362590445,0.914,-0.0358839740213648,0.0358839740213648,0.0358839740213648,FALSE,0.00184865562637266,0.00140261735548398,0.0125382614424808,0.000583695120413775,NA,NA,NA
"P_N050_T15_RY80","principal",50,15,0.8,0.5,0.5,0.5,"baseline","arellano_bond","Arellano-Bond sensitivity",1,500,500,0,0,0.930831918913249,-0.069168081086751,-0.069168081086751,0.45734994682739,0.994,-0.0616395655779894,0.0616395655779894,0.157237584597546,TRUE,0.0202382973147443,0.0518626005461372,0.00345369367489359,0.0188836969906786,6,0.034,0.058
"P_N050_T15_RY80","principal",50,15,0.8,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,500,500,0,0,0.997202575712697,-0.00279742428730251,-0.00279742428730251,0.035977417280881,0.94,-0.031635233797046,0.031635233797046,0.031635233797046,FALSE,0.0016056943831324,0.00111009937851645,0.0106207344378814,0.000512087643311579,NA,NA,NA
"P_N050_T15_RY80","principal",50,15,0.8,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,500,500,0,0,1.01647048228455,0.0164704822845482,0.0164704822845482,0.0456970471274353,0.92,-0.0364502365225343,0.0364502365225343,0.0364502365225343,FALSE,0.00190818473868669,0.00127889003229869,0.0121326007104825,0.000657581095198469,NA,NA,NA
"P_N050_T20_RY20","principal",50,20,0.2,0.5,0.5,0.5,"baseline","arellano_bond","Arellano-Bond sensitivity",1,500,500,0,0,1.00606969253485,0.00606969253484514,0.00606969253484514,0.146630385073044,0.964,-0.0125810781667098,0.0125810781667098,0.0352249741385705,FALSE,0.00655845133291203,0.00574687073625642,0.0083311463797007,0.00202869908646091,6,0.044,0.056
"P_N050_T20_RY20","principal",50,20,0.2,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,500,500,0,0,1.01118056523947,0.0111805652394721,0.0111805652394721,0.0319458498243594,0.936,-0.0336686033625261,0.0336686033625261,0.0336686033625261,FALSE,0.00133964692049661,0.00104329106298371,0.0109456840809517,0.000397712824555575,NA,NA,NA
"P_N050_T20_RY20","principal",50,20,0.2,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,500,500,0,0,1.00522681600248,0.00522681600247633,0.00522681600247633,0.0322321036737478,0.95,-0.0370040753904879,0.0370040753904879,0.0370040753904879,FALSE,0.00142380907005078,0.00114831256571687,0.00974679434480897,0.000472655140361165,NA,NA,NA
"P_N050_T20_RY50","principal",50,20,0.5,0.5,0.5,0.5,"baseline","arellano_bond","Arellano-Bond sensitivity",1,500,500,0,0,1.00086642600417,0.000866426004165605,0.000866426004165605,0.128116035462885,0.954,-0.00382956602469467,0.00382956602469467,0.0268689713241711,FALSE,0.00573513026318358,0.00403964101114286,0.00936845771725528,0.00165997653560314,6,0.05,0.05
"P_N050_T20_RY50","principal",50,20,0.5,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,500,500,0,0,1.01065288675179,0.0106528867517912,0.0106528867517912,0.0319514329016014,0.938,-0.0326161297387572,0.0326161297387572,0.0326161297387572,FALSE,0.00134850178002833,0.000961378805999398,0.0107848041243223,0.00040975650699493,NA,NA,NA
"P_N050_T20_RY50","principal",50,20,0.5,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,500,500,0,0,1.00931496230736,0.00931496230735559,0.00931496230735559,0.0331974948829262,0.944,-0.0350955545888407,0.0350955545888407,0.0350955545888407,FALSE,0.00142642197358368,0.000990633352716869,0.0102824121683582,0.000466625576778781,NA,NA,NA
"P_N050_T20_RY80","principal",50,20,0.8,0.5,0.5,0.5,"baseline","arellano_bond","Arellano-Bond sensitivity",1,500,500,0,0,0.953812701594444,-0.0461872984055558,-0.0461872984055558,0.295674125200162,0.99,-0.0323347501661421,0.0323347501661421,0.0996937006459713,TRUE,0.0130737021127001,0.0209493210955515,0.0044497190922574,0.0082499527790587,6,0.03,0.044
"P_N050_T20_RY80","principal",50,20,0.8,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,500,500,0,0,1.00268424745013,0.00268424745012682,0.00268424745012682,0.0310887184839774,0.944,-0.0330478712585814,0.0330478712585814,0.0330478712585814,FALSE,0.00138652492510623,0.00111390994971796,0.0102824121683582,0.000433416406822727,NA,NA,NA
"P_N050_T20_RY80","principal",50,20,0.8,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,500,500,0,0,1.01306020210741,0.0130602021074097,0.0130602021074097,0.035693300051047,0.926,-0.0367421617244841,0.0367421617244841,0.0367421617244841,FALSE,0.0014870468033273,0.00126639429556214,0.0117067501895274,0.000526540253439346,NA,NA,NA
"P_N050_T30_RY20","principal",50,30,0.2,0.5,0.5,0.5,"baseline","arellano_bond","Arellano-Bond sensitivity",1,500,500,0,0,1.01658380031772,0.0165838003177159,0.0165838003177159,0.110566909484101,0.946,-0.0126135814174781,0.0126135814174781,0.0253733011023392,TRUE,0.00489366263116598,0.00348834382608972,0.0101078187557949,0.00146324097086084,6,0.06,0.066
"P_N050_T30_RY20","principal",50,30,0.2,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,500,500,0,0,1.01018156504183,0.010181565041827,0.010181565041827,0.0261055416387693,0.934,-0.0351706175806257,0.0351706175806257,0.0351706175806257,FALSE,0.00107609760114941,0.000773112889627758,0.0111035129576184,0.000317696219482069,NA,NA,NA
"P_N050_T30_RY20","principal",50,30,0.2,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,500,500,0,0,1.00439332912228,0.00439332912227884,0.00439332912227884,0.0250399095709879,0.962,-0.0372969279532706,0.0372969279532706,0.0372969279532706,FALSE,0.0011035520446829,0.000773994623960398,0.0085505555375075,0.00034266031195117,NA,NA,NA
"P_N050_T30_RY50","principal",50,30,0.5,0.5,0.5,0.5,"baseline","arellano_bond","Arellano-Bond sensitivity",1,500,500,0,0,1.00514718626741,0.00514718626741049,0.00514718626741049,0.10266300909012,0.95,-0.00520165942728847,0.00520165942728847,0.0199940093014965,FALSE,0.00459004759144356,0.00319755637782572,0.00974679434480897,0.00114373448842812,6,0.022,0.04
"P_N050_T30_RY50","principal",50,30,0.5,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,500,500,0,0,1.01014261969748,0.0101426196974829,0.0101426196974829,0.0268573395543139,0.922,-0.0330796478718906,0.0330796478718906,0.0330796478718906,FALSE,0.00111326844943027,0.000770603376155647,0.0119929979571415,0.000321402663059453,NA,NA,NA
"P_N050_T30_RY50","principal",50,30,0.5,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,500,500,0,0,1.00531583366271,0.00531583366271201,0.00531583366271201,0.0261807330784009,0.944,-0.034647025788562,0.034647025788562,0.034647025788562,FALSE,0.00114759720838415,0.000779224790532838,0.0102824121683582,0.000354164149678858,NA,NA,NA
"P_N050_T30_RY80","principal",50,30,0.8,0.5,0.5,0.5,"baseline","arellano_bond","Arellano-Bond sensitivity",1,500,500,0,0,0.971958417175978,-0.0280415828240219,-0.0280415828240219,0.253776060777465,0.986,-0.0314468639862984,0.0314468639862984,0.062875828730306,FALSE,0.0112910093036492,0.0230716851059051,0.00525433154644813,0.00463234882939516,6,0.042,0.048
"P_N050_T30_RY80","principal",50,30,0.8,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,500,500,0,0,1.00554168465614,0.0055416846561388,0.0055416846561388,0.0243318452419707,0.938,-0.0339557515496031,0.0339557515496031,0.0339557515496031,FALSE,0.00106061617064097,0.000775261420025203,0.0107848041243223,0.00035368100609709,NA,NA,NA
"P_N050_T30_RY80","principal",50,30,0.8,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,500,500,0,0,1.01028590135311,0.0102859013531134,0.0102859013531134,0.0267868743934397,0.926,-0.0363424820744107,0.0363424820744107,0.0363424820744107,FALSE,0.00110721524440497,0.000818378970391367,0.0117067501895274,0.000394710833208073,NA,NA,NA
"P_N050_T50_RY20","principal",50,50,0.2,0.5,0.5,0.5,"baseline","arellano_bond","Arellano-Bond sensitivity",1,500,500,0,0,0.992145329857727,-0.00785467014227314,-0.00785467014227314,0.0831869395326831,0.944,-0.0140524510680126,0.0140524510680126,0.0188629275533492,FALSE,0.0037073212152073,0.00253859914378742,0.0102824121683582,0.000870295996177271,6,0.056,0.066
"P_N050_T50_RY20","principal",50,50,0.2,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,500,500,0,0,1.00446201391646,0.00446201391646129,0.00446201391646129,0.020213834228447,0.92,-0.0361944874506543,0.0361944874506543,0.0361944874506543,FALSE,0.000882574034232075,0.000665982690715439,0.0121326007104825,0.000248399769715572,NA,NA,NA
"P_N050_T50_RY20","principal",50,50,0.2,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,500,500,0,0,0.999796741721024,-0.0002032582789762,-0.0002032582789762,0.0202411428542504,0.92,-0.0374588566823195,0.0374588566823195,0.0374588566823195,FALSE,0.000906072311852101,0.000679663074729469,0.0121326007104825,0.000268311859019736,NA,NA,NA
"P_N050_T50_RY50","principal",50,50,0.5,0.5,0.5,0.5,"baseline","arellano_bond","Arellano-Bond sensitivity",1,500,500,0,0,1.00123682255671,0.0012368225567118,0.0012368225567118,0.071554015548992,0.946,-0.00582063579314244,0.00582063579314244,0.0138416645575735,FALSE,0.00320271910126073,0.00218181807877643,0.0101078187557949,0.000763212810421036,6,0.04,0.044
"P_N050_T50_RY50","principal",50,50,0.5,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,500,500,0,0,1.00629874815373,0.00629874815373212,0.00629874815373212,0.0194638796096758,0.944,-0.0334708166582194,0.0334708166582194,0.0334708166582194,FALSE,0.000824436871216263,0.000671406713099746,0.0102824121683582,0.000238037149595915,NA,NA,NA
"P_N050_T50_RY50","principal",50,50,0.5,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,500,500,0,0,1.00161813732696,0.00161813732695596,0.00161813732695596,0.0190193330956589,0.952,-0.0342643320877936,0.0342643320877936,0.0342643320877936,FALSE,0.000848335235229645,0.000644298725932103,0.00955991631762538,0.000245236817424027,NA,NA,NA
"P_N050_T50_RY80","principal",50,50,0.8,0.5,0.5,0.5,"baseline","arellano_bond","Arellano-Bond sensitivity",1,500,500,0,0,0.990236279544823,-0.0097637204551767,-0.0097637204551767,0.124385424222506,0.972,-0.0239921586984364,0.0239921586984364,0.0307388364531324,FALSE,0.00555107520356217,0.0162423449328557,0.00737780455149092,0.00157068122850412,6,0.054,0.06
"P_N050_T50_RY80","principal",50,50,0.8,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,500,500,0,0,1.0043399234303,0.00433992343029591,0.00433992343029591,0.0189842164236356,0.932,-0.0345363701600281,0.0345363701600281,0.0345363701600281,FALSE,0.000827345197501541,0.000586606929268321,0.0112584190719657,0.000255721765029559,NA,NA,NA
"P_N050_T50_RY80","principal",50,50,0.8,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,500,500,0,0,1.00509815970048,0.00509815970047996,0.00509815970047996,0.0198110402488805,0.92,-0.0357946162203257,0.0357946162203257,0.0357946162203257,FALSE,0.000856995361084396,0.00060933063511422,0.0121326007104825,0.000272404333193132,NA,NA,NA
"P_N100_T08_RY20","principal",100,8,0.2,0.5,0.5,0.5,"baseline","arellano_bond","Arellano-Bond sensitivity",1,500,500,0,0,0.991392507413061,-0.00860749258693863,-0.00860749258693863,0.231019946556987,0.976,-0.00898445209602047,0.00898445209602047,0.0602420661463469,FALSE,0.0103346923170307,0.00833047119587174,0.00684455988358638,0.00375457316984202,6,0.04,0.046
"P_N100_T08_RY20","principal",100,8,0.2,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,500,500,0,0,1.01854870057065,0.01854870057065,0.01854870057065,0.0438384544091284,0.898,-0.0294042544471701,0.0294042544471701,0.0294042544471701,FALSE,0.00177815501426414,0.00128282405314081,0.0135348439222623,0.000445886416626961,NA,NA,NA
"P_N100_T08_RY20","principal",100,8,0.2,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,500,500,0,0,1.03403296499218,0.0340329649921787,0.0340329649921787,0.0596044711792591,0.848,-0.0359964246657735,0.0359964246657735,0.0359964246657735,FALSE,0.00219054731788755,0.0017562542453756,0.0160559023415067,0.000607623083808606,NA,NA,NA
"P_N100_T08_RY50","principal",100,8,0.5,0.5,0.5,0.5,"baseline","arellano_bond","Arellano-Bond sensitivity",1,500,500,0,0,0.990952670174286,-0.00904732982571356,-0.00904732982571356,0.226954611217437,0.978,-0.00469610765577882,0.00469610765577882,0.0616590210109705,TRUE,0.0101518077776361,0.00810895537692328,0.00655987804764693,0.00487711745924527,6,0.044,0.04
"P_N100_T08_RY50","principal",100,8,0.5,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,500,500,0,0,1.01458996536529,0.0145899653652937,0.0145899653652937,0.040876050766828,0.938,-0.0285551428421291,0.0285551428421291,0.0285551428421291,FALSE,0.00170933100915574,0.00113683162655136,0.0107848041243223,0.000449459725317533,NA,NA,NA
"P_N100_T08_RY50","principal",100,8,0.5,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,500,500,0,0,1.04516204577509,0.0451620457750924,0.0451620457750924,0.0638630986838057,0.82,-0.0349977082412947,0.0349977082412947,0.0349977082412947,TRUE,0.00202137128542953,0.00170571156912564,0.0171813852759316,0.000625003096434945,NA,NA,NA
"P_N100_T08_RY80","principal",100,8,0.8,0.5,0.5,0.5,"baseline","arellano_bond","Arellano-Bond sensitivity",1,500,500,0,0,0.97577508351311,-0.0242249164868897,-0.0242249164868897,0.556350136215928,0.998,-0.0370488605755967,0.0370488605755967,0.236263580105335,FALSE,0.0248820313871128,0.0558708119426541,0.00199799899899875,0.024041288028296,6,0.036,0.042
"P_N100_T08_RY80","principal",100,8,0.8,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,500,500,0,0,0.984820755245576,-0.015179244754424,-0.015179244754424,0.0406064851046691,0.932,-0.0269771838655435,0.0269771838655435,0.0269810711591152,FALSE,0.00168601293046209,0.00120324497817447,0.0112584190719657,0.000458217997004775,NA,NA,NA
"P_N100_T08_RY80","principal",100,8,0.8,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,500,500,0,0,1.03439617133401,0.0343961713340056,0.0343961713340056,0.0583566874355088,0.878,-0.0339791812683356,0.0339791812683356,0.034015026314957,TRUE,0.00211038389217685,0.00171653823999167,0.0146366662871024,0.00066733596946876,NA,NA,NA
"P_N100_T10_RY20","principal",100,10,0.2,0.5,0.5,0.5,"baseline","arellano_bond","Arellano-Bond sensitivity",1,500,500,0,0,0.998749847030559,-0.00125015296944058,-0.00125015296944058,0.19387557480657,0.958,-0.00912107714287481,0.00912107714287481,0.0449393737169923,FALSE,0.00867888225768431,0.00726251490718491,0.00897061870775924,0.00276997420695749,6,0.034,0.036
"P_N100_T10_RY20","principal",100,10,0.2,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,500,500,0,0,1.01575382428637,0.0157538242863716,0.0157538242863716,0.0355232498219822,0.918,-0.0316720576680012,0.0316720576680012,0.0316720576680012,FALSE,0.00142530684265867,0.00112718687684968,0.0122699633251286,0.000406922464379294,NA,NA,NA
"P_N100_T10_RY20","principal",100,10,0.2,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,500,500,0,0,1.02071455406364,0.0207145540636404,0.0207145540636404,0.0423328410901503,0.916,-0.0381323662151438,0.0381323662151438,0.0381323662151438,FALSE,0.00165269967078732,0.00131104295043389,0.0124051602166195,0.000549495252130044,NA,NA,NA
"P_N100_T10_RY50","principal",100,10,0.5,0.5,0.5,0.5,"baseline","arellano_bond","Arellano-Bond sensitivity",1,500,500,0,0,1.00783152576521,0.00783152576521051,0.00783152576521051,0.185821778392806,0.964,-0.00567323715102619,0.00567323715102619,0.0389465142930147,TRUE,0.00831113415608418,0.00708775442120374,0.0083311463797007,0.0025124856768527,6,0.046,0.058
"P_N100_T10_RY50","principal",100,10,0.5,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,500,500,0,0,1.01573731824758,0.0157373182475793,0.0157373182475793,0.0368535620659864,0.916,-0.0303556820184076,0.0303556820184076,0.0303556820184076,FALSE,0.00149180920094894,0.00104462326661471,0.0124051602166195,0.000410055949139946,NA,NA,NA
"P_N100_T10_RY50","principal",100,10,0.5,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,500,500,0,0,1.03303892328411,0.0330389232841052,0.0330389232841052,0.0514947600323042,0.84,-0.0357173639266306,0.0357173639266306,0.0357173639266306,FALSE,0.00176820043648631,0.00136483013425011,0.0163951212255354,0.000555203926233284,NA,NA,NA
"P_N100_T10_RY80","principal",100,10,0.8,0.5,0.5,0.5,"baseline","arellano_bond","Arellano-Bond sensitivity",1,500,500,0,0,0.913770619248839,-0.0862293807511611,-0.0862293807511611,0.472423357095885,0.99,-0.0646668697429856,0.0646668697429856,0.183525022939053,TRUE,0.02079330101702,0.0457708706499829,0.0044497190922574,0.0178304588826333,6,0.03,0.038
"P_N100_T10_RY80","principal",100,10,0.8,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,500,500,0,0,0.992578444354138,-0.00742155564586168,-0.00742155564586168,0.0324206603685952,0.958,-0.029049675035568,0.029049675035568,0.029049675035568,FALSE,0.00141280979757028,0.00101548747096872,0.00897061870775924,0.000402914586323481,NA,NA,NA
"P_N100_T10_RY80","principal",100,10,0.8,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,500,500,0,0,1.02931711220704,0.0293171122070409,0.0293171122070409,0.0492026256948957,0.866,-0.0352488961676015,0.0352488961676015,0.0352756647919974,FALSE,0.00176891739539387,0.00139216819518564,0.0152344346793703,0.000557350973839515,NA,NA,NA
