scenario_id,design_family,N,T,rho_Y,rho_D,rho_Z,sigma_alpha_Z,unit_effect_heterogeneity,scenario_number
"P_N250_T30_RY20","principal",250,30,0.2,0.5,0.5,0.5,"baseline",49
"P_N250_T30_RY50","principal",250,30,0.5,0.5,0.5,0.5,"baseline",50
"P_N250_T30_RY80","principal",250,30,0.8,0.5,0.5,0.5,"baseline",51
"P_N250_T50_RY20","principal",250,50,0.2,0.5,0.5,0.5,"baseline",52
"P_N250_T50_RY50","principal",250,50,0.5,0.5,0.5,0.5,"baseline",53
"P_N250_T50_RY80","principal",250,50,0.8,0.5,0.5,0.5,"baseline",54
"S_N100_T10_RD20_SAZ050","stress",100,10,0.5,0.2,0.5,0.5,"baseline",55
"S_N100_T10_RD20_SAZ200","stress",100,10,0.5,0.2,0.5,2,"high_alpha_Z",56
"S_N100_T10_RD50_SAZ050","stress",100,10,0.5,0.5,0.5,0.5,"baseline",57
"S_N100_T10_RD50_SAZ200","stress",100,10,0.5,0.5,0.5,2,"high_alpha_Z",58
"S_N100_T10_RD80_SAZ050","stress",100,10,0.5,0.8,0.5,0.5,"baseline",59
"S_N100_T10_RD80_SAZ200","stress",100,10,0.5,0.8,0.5,2,"high_alpha_Z",60
"S_N100_T20_RD20_SAZ050","stress",100,20,0.5,0.2,0.5,0.5,"baseline",61
"S_N100_T20_RD20_SAZ200","stress",100,20,0.5,0.2,0.5,2,"high_alpha_Z",62
"S_N100_T20_RD50_SAZ050","stress",100,20,0.5,0.5,0.5,0.5,"baseline",63
"S_N100_T20_RD50_SAZ200","stress",100,20,0.5,0.5,0.5,2,"high_alpha_Z",64
"S_N100_T20_RD80_SAZ050","stress",100,20,0.5,0.8,0.5,0.5,"baseline",65
"S_N100_T20_RD80_SAZ200","stress",100,20,0.5,0.8,0.5,2,"high_alpha_Z",66
"S_N100_T30_RD20_SAZ050","stress",100,30,0.5,0.2,0.5,0.5,"baseline",67
"S_N100_T30_RD20_SAZ200","stress",100,30,0.5,0.2,0.5,2,"high_alpha_Z",68
"S_N100_T30_RD50_SAZ050","stress",100,30,0.5,0.5,0.5,0.5,"baseline",69
"S_N100_T30_RD50_SAZ200","stress",100,30,0.5,0.5,0.5,2,"high_alpha_Z",70
"S_N100_T30_RD80_SAZ050","stress",100,30,0.5,0.8,0.5,0.5,"baseline",71
"S_N100_T30_RD80_SAZ200","stress",100,30,0.5,0.8,0.5,2,"high_alpha_Z",72
