spec,estimate,std_error,conf_low,conf_high,p_value,rep,scenario,att_true,treat_share,n_units,n_obs
safe,0.11338344299773734,0.014598466252710296,0.08477097491290175,0.14199591108257292,9.699146098650199e-15,15,jensen_full_like,0.1112,0.4848,5000,10000
full,0.10684648144413772,0.014621029832633957,0.07818978955528948,0.13550317333298595,3.146891993084297e-13,15,jensen_full_like,0.1112,0.4848,5000,10000
base,0.12542482241521355,0.014421199264033985,0.09715979124383141,0.15368985358659568,4.547468585841809e-18,16,jensen_full_like,0.1112,0.4788,5000,10000
tvc,0.11339895974896208,0.014437021998835087,0.08510291658723285,0.14169500291069131,4.868330933782287e-15,16,jensen_full_like,0.1112,0.4788,5000,10000
safe,0.0955484298617749,0.014696162474551864,0.06674448070070423,0.12435237902284559,8.722327380858065e-11,16,jensen_full_like,0.1112,0.4788,5000,10000
full,0.0886661338065746,0.014668824783154889,0.05991576553606247,0.11741650207708675,1.6071808855463465e-9,16,jensen_full_like,0.1112,0.4788,5000,10000
base,0.13280618619988355,0.014400854972521563,0.10458102910715675,0.16103134329261035,4.2010499242764074e-20,17,jensen_full_like,0.1112,0.4798,5000,10000
tvc,0.11960291347874114,0.014468544886997264,0.09124508659152536,0.1479607403659569,1.7517801016554008e-16,17,jensen_full_like,0.1112,0.4798,5000,10000
safe,0.09926486870673412,0.014695399221140201,0.07046241549486137,0.12806732191860687,1.5931389734026263e-11,17,jensen_full_like,0.1112,0.4798,5000,10000
full,0.09308637634631227,0.014692989716538905,0.06428864567667865,0.12188410701594589,2.5744853640406445e-10,17,jensen_full_like,0.1112,0.4798,5000,10000
base,0.14333601125529152,0.01424247770922905,0.11542126789458806,0.17125075461599498,1.3356181864821148e-23,18,jensen_full_like,0.1112,0.4748,5000,10000
tvc,0.13012467075874642,0.014338709146596604,0.10202131724662203,0.15822802427087082,1.602031497207571e-19,18,jensen_full_like,0.1112,0.4748,5000,10000
safe,0.11803425320203019,0.014454510426731458,0.08970393335147785,0.14636457305258252,4.00309150920219e-16,18,jensen_full_like,0.1112,0.4748,5000,10000
full,0.1104559623651547,0.014507846287029462,0.08202110614933382,0.1388908185809756,3.169065841073807e-14,18,jensen_full_like,0.1112,0.4748,5000,10000
base,0.12195986499791352,0.014276339485629156,0.0939787537750133,0.14994097622081373,1.7179085189750428e-17,19,jensen_full_like,0.1112,0.4792,5000,10000
