year	xuk_def	xfr_def	xpt_def	xit_def	xbe_def	xde_def	xus_def	xru_def	xcn_def
1997	-0.10448204	-0.2520694	-0.09045868	-0.20026147	-0.17761506	0.77013135	-0.013678096	0.20101412	0.004736702
1998	0.004133388	-0.18087713	-0.07264532	-0.19197935	-0.12737826	0.7545345	0.041875947	-0.6435836	0.001515701
1999	0.0522261	-0.15814018	-0.35256264	0.029730994	-0.11837591	0.82249063	0.07386297	0.8438259	0.00688427
2000	0.06718405	-0.1627677	-0.4042251	-0.19430944	-0.12456986	0.86717904	0.13202907	1.3186562	0.010130884
2001	0.028721048	-0.15975028	-0.42858818	-0.23129667	-0.12242919	0.84746474	0.06887481	0.69666356	0.009705523
2002	-0.095820405	-0.18809038	-0.5918991	-0.23785706	-0.15383172	0.77697855	-0.07847232	0.6558373	0.011727865
2003	-0.1638397	-0.20518902	-0.5859605	-0.25075606	-0.15496185	0.8260438	-0.17482291	0.23964405	0.009894436
2004	-0.12491348	-0.20080073	-0.58631724	-0.25060928	-0.16273029	0.7426281	-0.17999825	0.30257034	0.012344978
2005	-0.09337768	-0.19122836	-0.5328155	-0.2664613	-0.20246264	0.7358127	-0.12880258	0.6702094	0.014981921
2006	-0.116981275	-0.18506092	-0.49671206	-0.2397014	-0.15752131	0.8281987	-0.09344633	0.63412005	0.015728481
2007	-0.112354554	-0.19456005	-0.57550454	-0.21425484	-0.16699503	0.9251458	-0.058892515	0.39199483	0.014076166
2008	-0.19953506	-0.20559403	-0.6849406	-0.22724618	-0.17532094	0.94130224	-0.1537301	0.6798014	0.006992951
2009	-0.39509413	-0.44376907	-0.77435046	-0.25029853	-0.25323585	0.8197883	-0.40159765	-0.24421455	0.011230623
2010	-0.3738834	-0.38015252	-0.5256871	-0.24432698	-0.22898161	0.60810167	-0.37441787	-0.056024686	0.016976709
2011	-0.31272337	-0.3474664	-0.43545043	-0.28321743	-0.26696852	0.8914489	-0.3606894	0.34419936	0.010044587
2012	-0.3313666	-0.32077485	-0.41366592	-0.2519748	-0.24825023	0.960028	-0.30527988	0.15927593	0.006471543
2013	-0.2424455	-0.2564217	-0.34919795	-0.24995217	-0.18504368	1.0216669	-0.19676402	0.11434811	0.008743641
2014	-0.25168908	-0.2680422	-0.4724036	-0.2614435	-0.18064076	1.1036645	-0.1382654	0.025620287	0.00783639
2015	-0.20491314	-0.27570665	-0.34118408	-0.2565269	-0.10323093	1.1143215	-0.119697705	0.05772993	0.003619595
