year	dza	ago	ben	bwa	bfo	bdi	cmr	capeverde	caf	tcd	comoroislands	cog	civ	dji	egy	equatorialguinea	eth	gab	gmb	gha	gin	gnb	ken	lso	lbr	lby	mdg	mwi	mli	mrt	mauritius	mar	moz	nam	ner	nga	rwi	SaoTom��Principe	sen	seychelles	sle	som	zaf	sdn	swz	tza	tgo	tun	uga	cod	zmb	zwe
1958	1719	1241	956	392	583	428	805	449	917	563	649	1378	1179	1665	947	660	423	3939	678	1187	368	476	725	430	1187	1410	1112	388	521	572	2610	1389	1280	2376	717	797	631	875	1429	2200	807	1241	2939	949	817	444	647	1291	685	738	776	906
1959	1994	1225	970	399	598	445	822	486	934	574	671	1399	1191	1711	969	687	427	4052	697	1321	383	478	720	435	1223	1470	1132	393	530	586	2685	1358	1323	2451	729	808	652	784	1448	2254	841	1287	2995	1033	843	453	656	1217	700	747	915	925
1960	2088	1253	978	403	609	444	832	508	925	569	712	1416	1256	1771	991	746	440	4184	722	1378	392	501	726	458	1230	1830	1125	394	534	625	2777	1329	1327	2616	761	820	656	867	1445	2367	856	1277	3041	1024	935	459	698	1343	713	748	960	938
1961	1799	1396	987	410	630	372	829	525	943	566	703	1430	1326	1783	1031	806	453	4639	815	1388	411	532	686	457	1226	1936	1126	404	527	722	3319	1341	1337	2579	777	824	625	933	1475	2176	858	1311	3092	996	1028	441	728	1436	686	653	938	956
1962	1433	1335	932	415	665	397	840	539	901	586	749	1444	1335	1759	1074	887	462	4725	781	1416	433	562	701	517	1209	2473	1129	393	519	697	3249	1354	1400	2869	841	846	695	995	1487	2306	884	1341	3179	1037	1214	468	736	1379	694	767	905	939
1963	1768	1380	952	422	652	407	857	553	881	567	887	1458	1492	1774	1120	1006	513	4832	762	1424	403	583	714	560	1204	3212	1096	376	543	645	3629	1367	1321	3076	905	899	611	1055	1507	2458	886	1364	3321	980	1252	483	754	1556	751	783	902	901
1964	1806	1510	993	430	662	420	872	564	878	542	932	1472	1688	1758	1166	1145	527	4851	787	1414	421	642	758	593	1231	4366	1116	359	557	827	3283	1381	1349	3486	888	910	525	1112	1499	2488	883	1191	3450	944	1399	494	841	1589	785	747	996	953
1965	1870	1596	1020	437	682	425	874	575	866	533	913	1486	1581	1754	1213	1285	547	4860	846	1393	442	685	743	593	1218	5378	1088	397	553	928	3302	1394	1351	3626	935	944	548	1165	1511	2435	932	1088	3559	984	1577	497	932	1653	779	738	1147	984
1966	1725	1660	1032	473	679	433	898	585	843	512	984	1527	1628	1761	1192	1322	557	5003	955	1354	443	728	812	577	1408	6107	1087	426	564	920	3108	1436	1364	3668	904	887	570	1233	1508	2434	976	1216	3615	947	1602	544	991	1654	803	768	1056	967
1967	1824	1727	1016	513	731	462	905	594	858	505	999	1569	1574	1758	1151	1393	569	5130	957	1339	448	771	826	626	1360	6545	1123	455	571	938	3180	1480	1425	3430	889	728	594	1286	1449	2381	955	1258	3760	893	1709	549	1019	1605	822	738	1107	1015
1968	1977	1672	1029	557	746	447	946	602	847	492	973	1610	1730	1746	1146	1424	566	5176	939	1318	453	794	857	610	1384	8395	1174	437	579	1006	2907	1524	1549	3369	877	699	618	1337	1499	2522	1032	1252	3819	923	1588	561	1043	1735	818	746	1092	999
1969	2105	1691	1033	601	752	434	973	611	872	514	963	1653	1717	1742	1201	1364	575	5518	1007	1325	458	833	881	605	1442	9043	1192	453	564	975	3006	1570	1693	3396	832	861	666	1389	1362	2455	1109	1071	3946	954	1612	554	1126	1760	881	792	1056	1086
1970	2249	1768	1027	647	745	540	982	619	891	513	1009	1696	1808	2069	1254	1309	595	5869	879	1424	465	872	915	604	1492	9115	1226	447	586	1059	2945	1616	1743	3321	839	1094	717	1440	1435	2570	1129	1138	4045	888	2036	568	1075	1827	867	768	1073	1282
1971	2000	1728	1006	747	765	571	990	566	844	512	1154	1786	1803	2142	1283	1186	607	6332	949	1491	470	833	941	535	1519	8252	1246	498	593	1051	3047	1665	1816	3314	867	1188	705	1483	1390	2910	1101	1141	4135	923	2015	574	1126	1982	869	795	1042	1353
1972	2350	1712	1065	956	786	519	1011	536	808	467	1032	1882	1811	2150	1284	1023	624	6892	985	1402	471	883	956	624	1530	6979	1202	534	609	1047	3309	1669	1823	3387	804	1197	687	1423	1436	3026	1072	1228	4109	878	2201	593	1138	2287	856	775	1105	1423
1973	2357	1789	1061	1123	735	554	1003	529	828	435	889	1981	1866	2185	1294	1065	630	7289	997	1397	482	882	970	769	1447	6664	1144	562	581	966	3680	1694	1873	3401	652	1262	688	1355	1315	3251	1087	1176	4175	780	2258	593	1067	2221	835	819	1062	1432
1974	2428	1711	955	1300	710	542	1024	512	787	484	1055	2084	1839	2080	1317	1128	623	9544	1157	1455	506	912	981	797	1508	5379	1139	582	554	1046	4020	1751	1684	3425	693	1367	700	1356	1329	3245	1113	914	4299	833	2443	588	1087	2343	817	823	1114	1427
1975	2522	1073	969	1223	670	535	1052	525	782	555	804	2191	1764	2065	1421	1294	610	9406	1050	1247	517	925	942	715	1248	5515	1126	586	616	962	3969	1831	1404	3334	659	1287	806	1421	1396	3307	1125	1202	4271	910	2462	600	1056	2446	780	761	1041	1402
1976	2608	954	983	1381	652	566	1044	520	795	535	692	2141	1893	2154	1606	1452	611	12340	1134	1178	556	902	943	814	1263	6540	1063	591	684	1020	4551	1992	1295	3389	648	1385	766	1497	1487	3583	1070	1166	4267	1044	2472	625	1026	2569	765	697	1071	1357
1977	2759	941	1010	1358	684	622	1070	518	838	485	624	1909	1903	1794	1767	1458	613	9529	1152	1181	557	823	991	936	1221	6945	1061	603	720	989	4768	2050	1263	3505	682	1393	779	1613	1403	3787	1065	1420	4155	1165	2473	623	1057	2592	757	681	990	1221
1978	3019	960	1013	1537	746	600	1094	567	831	472	627	1824	2009	1724	1844	1572	597	6721	1058	1260	561	915	1039	1054	1235	6991	1006	637	691	966	4863	2069	1235	3658	756	1272	827	1667	1306	4009	1048	1389	4174	1108	2462	623	1138	2700	697	623	967	1232
1979	3192	958	1063	1613	736	583	1120	622	764	362	624	2043	1969	1687	1930	1541	627	6659	1191	1210	551	918	1036	962	1255	7565	1075	646	844	991	4943	2122	1215	3703	791	1320	876	1808	1354	4615	1087	1181	4232	956	2421	613	1178	2811	606	603	910	1211
1980	3152	961	1128	1765	731	603	1192	841	737	341	643	2324	2041	1661	2069	1477	648	6777	1039	1157	558	754	1051	1005	1162	7272	1054	630	733	1009	4367	2272	1220	3767	810	1305	952	2009	1268	4444	1116	1036	4390	931	2397	601	1097	2944	572	598	911	1295
1981	3131	923	1156	1858	744	642	1351	904	728	345	664	2725	2034	1674	2076	1424	633	6541	997	1142	550	871	1033	990	1155	5648	936	580	697	1026	4550	2169	1217	3825	801	1164	982	1421	1219	4095	1162	1112	4480	920	2481	577	998	3030	579	596	936	1407
1982	3228	862	1242	1921	742	625	1416	917	722	347	674	2857	1964	1676	2223	1412	615	6211	1088	1042	549	903	1054	1001	1091	5234	893	567	646	984	4738	2337	1162	3789	772	1119	1030	1755	1360	3981	1157	1151	4323	1003	2548	568	928	2957	610	577	877	1405
1983	3289	808	1152	2144	715	630	1471	990	661	382	683	2913	1820	1643	2322	1395	627	6105	926	933	544	811	1021	892	1052	4968	875	573	663	1009	4708	2262	1063	3577	740	1023	1057	1568	1351	3879	1117	1015	4112	958	2474	549	847	3039	636	570	828	1374
1984	3363	790	1206	2300	708	614	1537	1011	686	385	687	3008	1696	1802	2390	1678	600	6142	871	960	535	824	1000	944	1012	4397	819	580	680	916	4882	2294	1022	3425	600	958	983	1406	1248	3989	1108	1014	4186	881	2437	546	842	3068	563	585	796	1297
1985	3431	779	1257	2387	780	672	1622	1081	673	466	690	2787	1716	1758	2471	1399	552	5818	770	978	519	850	1006	953	969	3953	813	606	683	921	5179	2374	920	3341	596	1017	1000	1487	1255	4324	1054	1055	4006	799	2497	529	851	3161	556	570	784	1335
1986	3301	694	1246	2485	878	684	1683	1094	670	434	690	2519	1705	1717	2460	1421	577	5356	783	988	516	824	1040	948	968	3586	795	587	714	950	5658	2495	928	3344	608	1010	1025	1471	1274	4372	995	1051	3912	807	2494	530	847	3037	538	579	762	1322
1987	3192	760	1190	2619	838	695	1550	1151	638	410	701	2460	1618	1677	2465	1466	615	4546	797	1007	519	793	1065	972	964	3380	789	568	714	957	6184	2378	980	3339	572	976	983	1409	1285	4549	1023	1068	3897	808	2607	539	829	3164	550	576	755	1257
1988	3043	853	1189	2937	880	703	1435	1166	632	459	712	2389	1533	1597	2510	1530	608	4542	849	1034	537	805	1092	1070	935	3303	778	547	700	969	6550	2558	1067	3277	589	1046	918	1401	1308	4690	1026	1064	3964	804	2429	544	836	3099	566	561	777	1326
1989	3067	853	1128	3216	842	697	1268	1208	638	472	694	2402	1470	1502	2528	1550	600	4637	875	1057	545	790	1105	1159	918	3232	785	542	756	982	6783	2555	1114	3364	574	1085	907	1392	1242	4899	1025	1086	3956	849	2478	546	837	3151	583	540	762	1368
1990	2947	868	1136	3304	807	705	1211	1233	642	434	685	2380	1307	1448	2523	1552	574	4797	878	1062	540	797	1117	1181	1060	3087	792	540	747	948	7208	2591	1114	3141	547	1112	877	1391	1254	5169	1026	1081	3834	760	2435	549	800	3335	585	510	806	1355
1991	2840	854	1153	3360	852	723	1133	1186	621	465	630	2363	1253	1420	2532	1581	512	4971	863	1092	516	818	1096	1201	1255	2825	720	564	797	949	7597	2720	1167	3229	544	1077	823	1355	1251	5246	919	1006	3715	804	2385	545	768	3402	575	451	779	1413
1992	2813	782	1162	3354	826	706	1068	1144	564	458	664	2351	1214	1384	2505	1704	451	4681	867	1112	515	803	1045	1228	1213	2637	707	503	752	932	7865	2566	1089	3444	494	1055	859	1327	1233	5542	845	905	3564	744	2324	533	714	3601	571	391	773	1260
1993	2686	576	1148	3311	826	685	1007	1184	549	442	664	2254	1328	1299	2544	1762	498	4666	885	1136	526	794	1011	1246	1193	2453	700	542	762	948	8287	2496	1144	3284	486	1049	758	1307	1217	5837	855	907	3533	764	2329	522	600	3616	595	327	752	1256
1994	2604	566	1146	3321	808	654	956	1242	569	457	610	2062	1283	1257	2615	1800	501	4711	884	1149	530	796	1012	1215	1229	2363	679	495	771	962	8553	2709	1129	3415	490	1032	456	1300	1186	5639	865	910	3584	764	2395	511	700	3669	611	304	636	1316
1995	2651	631	1165	3367	826	567	963	1319	585	441	644	2081	1312	1195	2696	1999	516	4815	822	1175	537	812	1029	1341	1262	2321	670	566	776	984	8759	2490	1085	3467	444	1004	707	1284	1218	5605	766	917	3646	771	2467	512	708	3699	661	294	602	1310
1996	2702	734	1193	3458	888	517	986	1388	530	436	617	2106	1378	1122	2789	2509	566	4858	841	1207	546	832	1044	1442	1254	2381	664	607	818	1021	9115	2750	1208	3483	451	1028	668	1268	1212	6102	569	920	3753	804	2499	525	741	3908	701	284	628	1417
1997	2687	753	1222	3589	915	518	1012	1476	559	441	625	2040	1419	1103	2890	4177	570	5002	851	1248	566	858	1022	1485	1161	2467	668	629	839	1034	9553	2648	1308	3543	439	1031	653	1243	1219	6780	454	895	3803	1279	2536	531	678	4066	717	266	630	1417
1998	2782	731	1237	3704	952	529	1037	1565	568	461	612	2058	1449	1092	3042	4952	532	5042	851	1288	585	602	1031	1419	1051	2322	673	617	855	1045	10018	2811	1428	3581	479	1034	677	1232	1258	7101	441	868	3770	1538	2564	535	644	4217	722	255	602	1402
1999	2829	734	1254	3845	980	509	1058	1681	576	458	606	1935	1439	1107	3158	6806	548	4052	876	1323	593	636	1032	1434	1009	2291	684	621	878	1060	10437	2787	1513	3630	468	1014	714	1226	1307	6809	404	858	3810	1835	2610	538	644	4422	756	237	598	1337
2000	2849	736	1285	4084	977	496	1076	1776	575	449	581	2004	1337	1103	3258	7677	564	3844	895	1352	591	680	1013	1469	990	2313	694	609	824	1085	10593	2794	1503	3661	441	1041	742	1225	1318	6367	409	848	3920	2048	2630	547	614	4564	771	214	602	1231
2001	2885	741	1305	4211	1003	492	1099	1865	568	479	577	1989	1305	1106	3301	10478	589	3820	917	1384	610	667	1034	1504	983	2391	715	568	895	1104	11232	2966	1651	3660	461	1098	775	1235	1343	6149	458	835	3982	2158	2647	563	601	4734	800	203	613	1248
2002	2977	825	1340	4339	1001	499	1115	1941	557	511	573	2040	1257	1111	3333	11155	581	3728	860	1419	616	620	1008	1562	1012	2367	609	562	906	1120	11501	3026	1764	3703	469	1296	826	1255	1317	6151	553	848	4084	2244	2700	586	611	4765	834	204	617	1128
2003	3138	825	1348	4429	1039	477	1132	2014	507	565	570	2005	1210	1124	3367	12825	553	3732	890	1459	607	604	1007	1598	697	2447	649	578	947	1153	12183	3178	1838	3789	484	1391	814	1295	1369	5728	572	861	4160	2374	2752	607	626	4974	861	210	632	942
2004	3253	885	1347	4489	1053	483	1148	2085	506	725	576	2023	1200	1131	3430	16416	600	3686	926	1504	608	605	1024	1660	716	2509	664	594	939	1183	12641	3291	1940	3992	464	1497	825	1332	1411	5496	596	879	4306	2478	2804	636	623	5216	888	218	651	892
2005	3370	1035	1341	4481	1109	470	1148	2204	510	758	584	2120	1196	1143	3508	17506	656	3711	945	1560	614	614	1053	1668	729	2703	675	593	967	1216	12958	3349	2058	4048	485	1537	861	1365	1451	5746	624	897	4490	2520	2865	663	614	5371	933	228	668	849
2006	3386	1214	1348	4619	1142	475	1158	2426	521	740	573	2190	1179	1174	3669	17243	711	3675	978	1619	617	606	1087	1800	750	2818	689	589	988	1322	13297	3568	2188	4292	495	1590	898	1410	1447	5814	640	918	4698	2765	2953	688	621	5619	989	234	691	827
2007	3428	1445	1368	4728	1152	475	1170	2599	532	723	559	2100	1172	1209	3847	20361	772	3801	1010	1686	613	609	1129	1888	781	2961	712	628	999	1303	13741	3623	2296	4484	492	1657	943	1446	1479	6021	666	950	4914	3042	3065	716	615	5911	1040	241	714	803
2008	3447	1599	1394	4769	1182	479	1174	2735	536	706	549	2159	1174	1254	4038	22049	834	3811	1043	1789	628	617	1113	1952	802	2994	742	662	1018	1299	14529	3782	2399	4571	521	1711	1020	1484	1494	6109	686	978	5048	3048	3150	747	606	6117	1087	249	734	661
2009	3467	1592			1180		1171						1192		4141		891			1820			1109				692	703	1031			3926	2495		498	1783			1485				4943	3120		772		6244	1127	249	760	700
2010	3513	1600			1234		1179						1195		4267		935			1922			1141				676	728	1059			4027	2613		519	1876			1507				5080	3132		804		6374	1158	260	795	750
