year	P_1	P_2	P_3	P_6	P_7	P_8	P_9	P_10	P_11	P_14	P_16	P_19	P_24	P_26	P_27	P_29	P_34	P_36	P_40	P_51	P_52	P_56	P_57	P_58	P_62	P_66	P_67	P_68	P_69	P_70	P_71	P_73	P_76	P_77	P_83	P_92	P_93	P_115	P_116	P_125	P_126	P_137	P_140	P_165	P_179	P_180	P_185	P_187	P_188	P_198
1903	0.8440769	1.2709371	1.1532539	0.7660788	120.95	1.970692	5.9716783	20.67183	15.144531	8.962301	1.6658648	0.034399483	0.38765433	1.9123112	1.9704968	3.626694	0.04709078	36.776863	2.7414541	0.33972362	0.8075823	125.458084	2.8006592	0.8440769	2.0007544	0.22448346	0.9403925	0.7660788	1.2239753	2.3201232	22.99	57.61324	0.032107223	11.1260605	0.60406554	8.753735	6.6439953	2.2568095	0.2845006	5.1207275	7.612	0.027855221	2.6831446	0.33972362	0.33339888	1.4275272	34.222366	0.19266637	0.03040442	0.94
1904	0.8360949	1.3011631	0.83115077	0.74391586	135.7	1.7890271	8.53125	20.67022	15.118648	8.60292	1.3654869	0.036259275	0.4814133	1.6159697	2.261344	3.7278783	0.040653385	39.987286	3.1534286	0.35043505	0.8180467	125.44053	3.1336644	0.8360949	1.4892262	0.2388739	0.8658746	0.75387377	1.3137794	2.5385368	30.61	58.1699	0.030147633	11.084707	0.561241	8.300639	6.3597994	2.1190608	0.24394432	5.0158935	8.131	0.027909013	2.641762	0.35043505	0.3374974	1.4789181	33.87462	0.19226436	0.02314825	0.86
1905	0.9153835	1.3416046	1.1483028	0.6951718	145.06	1.9162637	8.569704	20.67184	17.28713	8.50349	1.434842	0.038690083	0.3085191	1.840602	2.1541977	3.7912033	0.042845402	40.22853	2.7720966	0.36139047	0.7485764	141.6516	2.652237	0.9153835	1.2720811	0.2621005	0.7680189	0.7523126	1.235837	2.3910916	32.72	66.299515	0.030163568	13.288639	0.64151365	8.098807	6.3343787	2.060408	0.38332248	5.204272	8.575	0.026013315	2.790987	0.36139047	0.36208832	1.4635358		0.18720064	0.02756981	0.62
1906	0.9397162	1.4427781	1.1806085	0.85044426	150.8	1.9746764	8.576886	20.67184	18.03054	8.603335	1.3573059	0.042466	0.29625377	2.0714662	2.1705241	3.5976822	0.039544612	41.384373	2.6446593	0.35148078	0.71097064	73.81608	3.1104999	0.9397162	1.7203233	0.24592061	0.7995585	0.85044426	1.4677409	2.0911307	24.86	84.9126	0.03083559	14.8804	0.6614947	8.147103	6.876312	2.137224	0.3487176	5.4089923	9.49	0.025838953	3.042357	0.35148078	0.3760782	1.532149	33.96093	0.19492306	0.02388994	0.73
1907	1.0668092	1.772863	1.2478217	0.9521544	139.17	1.9900291	8.328854	20.67184	21.35567	8.580068	1.5152664	0.043060336	0.28418648	2.122701	2.340138	3.895034	0.041257802	51.965515	2.309202	0.38435027	0.7760925	78.370995	3.3060935	1.0668092	2.462027	0.27105638	0.7797733	0.9521544	1.6087472	2.1993053	26.15	83.918465	0.033881433	14.323772	0.64124763	7.8682504	7.7128735	2.1888292	0.16626066	5.3247256	9.27	0.036873907	3.2599413	0.38435027	0.38429385	1.6353993	38.865376	0.18741974	0.02559865	0.72
1908	1.0217781	1.3646034	1.2110329	0.81067586	112.38	1.7726933		20.67183	18.149885	8.477909	1.4950459	0.038937517	0.2770751	2.0835063	2.3619645	3.834336	0.042126954	46.216587	2.7826588	0.4202219	0.805431	65.59013	3.0346565	1.0217781	2.1695845	0.30696672	0.8092942	0.81067586	1.3707142	1.8760672	30.02	60.266155	0.033185262	14.440241	0.6410501	7.9032063	6.862126	2.1228962	0.27946097	5.7188163	7.511	0.032481343	2.9870818	0.4202219	0.39445823	1.7319248	38.46714	0.18239821	0.02143245	0.72
1909	1.0651238	1.4972911	1.2367876	0.787906	161.72	1.6872039		20.67184	19.788652	7.9965353	1.583473	0.039687682	0.28088677	2.2164068	2.260675	3.643536	0.038238093	46.21947	2.5324821	0.46264777	0.84423304	67.30777	3.0853274	1.0651238	2.2164063	0.3079826	0.8130696	0.787906	1.4358194	1.6520674	29.55	59.41675	0.034002412	16.93329	0.44127163	8.165293	6.679297	2.1144145	0.32885993	5.5195665	7.318	0.0247899	2.5370688	0.46264777	0.408456	1.6541731	50.523182	0.1793574	0.01628185	0.7
1910	1.2457663	1.8781829	1.5326098	1.9853529	197.25	1.8177797		20.67183	23.03253	8.206565	1.6398215	0.04240125	0.2786995	3.041225	2.4596248	3.4475877	0.040369954	44.142677	2.4597046	0.41968998	0.8265762	69.836685	3.63514	1.2457663	2.3468409	0.27806613	0.7888587	0.86270565	1.619804	1.7595726	31.9	58.240917	0.03419694	18.313145	0.6831509	8.458883	6.6451607	2.1971269	0.35352653	5.66252	7.601	0.024522599	3.3354113	0.41968998	0.39773718	1.5858629	43.435482	0.19027972	0.01984232	0.61
1911	1.1181594	1.8338834	1.5173119	1.9236532	159.1	1.8971959		20.6718	23.762121	8.452832	1.9307582	0.041506816	0.27369004	3.3923697	2.5551057	3.3327332	0.043119244	46.49665	3.15968	0.3967645	0.8056058	79.97482	3.2239544	1.1181594	2.2382946	0.27752686	0.8181054	0.8895454	1.7270547	1.8219205	35.42	56.818634	0.03750834	15.52208	0.72731507	8.202826	6.3190236	2.079356	0.40034539	5.717495	7.579	0.024985826	2.451308	0.3967645	0.41807106	1.5802236	45.347874	0.18987748	0.01620802	0.61
1912	1.3038688	1.9044442	1.4427984	1.9815829	154.15	2.0696957	11.119784	20.67183	24.405626	8.179799	1.9311651	0.04119078	0.2814497	3.0607367	2.65996	3.483738	0.04502459	46.035164	3.7367778	0.4484319	0.82746273	85.8888	2.8597353	1.3038688	2.0089579	0.30980042	0.77780735	0.9129587	1.6280619	2.0158312	30.61	72.16148	0.036353707	15.646872	0.69905365	8.330956	6.491476	2.2190182	0.29949918	6.0807056	8.645	0.02588967	3.49726	0.4484319	0.4398481	1.61647	40.18718	0.19060293	0.01897887	0.74
1913	1.2579577	2.1555345	1.6254958	2.1542957	125.4	2.0189674	8.425266	20.67184	23.796087	8.645066	1.7241998	0.04275159	0.28815553	2.1976979	2.7055807	3.6268778	0.048402365	48.227104	3.4514356	0.4141477	0.88576144	95.65602	3.245668	1.2579577	1.853902	0.2859476	0.6505764	0.9467411	1.6087722	2.2204654	22.87	70.31511	0.037756886	20.012005	0.7342248	7.7578588	8.211094	2.388446	0.2746315	5.818675	8.496	0.029129464	4.0221806	0.4141477	0.4444219	1.6217812	45.173836	0.19043633	0.02706996	0.95
1914	1.2012775	2.035999	1.4525335	2.0892384	94.04	2.0891364	7.97792	20.67183	20.878922	7.9310265	2.07842	0.043800093	0.2703176	2.3312483	3.1937625	3.9775805	0.046233438	47.002052	3.4214191	0.43043858	0.9251359	92.02645	2.9692419	1.2012775	1.4331981	0.3012471	0.615084	0.9035926	1.3408059	2.2561626	30.96	61.8405	0.038236756	18.371454	0.74235	7.053429	6.7225885	2.6456769	0.46081614	6.027371	7.788	0.026759064	4.245429	0.43043858	0.48326692	1.7258351	47.796844	0.20445918	0.01880757	0.81
1915	1.3800946	2.1032064	1.2220887	3.167915	95.26	2.9442124	1.5762396	20.67184	17.566477	7.9868073	1.6974221	0.04536727	0.3101538	2.5833285	3.540037	4.8028107	0.041556068	46.103577	2.9968486	0.6463049	1.0504073	84.4219	2.442636	1.3800946	1.5898676	0.38907614	0.70489895	1.1580687	1.10851	2.734081	38.82	75.98683	0.045403562	22.491114	0.72212285	7.1738634	9.178154	3.4131782	0.5472137	7.0118737	7.059	0.032382794	4.6827307	0.6463049	0.59762937	1.8811415	47.461895	0.18198374	0.02520414	0.64
1916	1.7367803	2.5738995	1.4839038	5.2702885	112.87	4.0819736	2.6005216	20.67183	22.427189	14.610736	2.6048696	0.060683765	0.36279565	3.7324464	4.253677	6.532479	0.044031408	46.620037	2.897357	0.7196234	1.4499369	93.17121	3.902791	1.7367803	2.452096	0.58250844	1.0061003	1.6982733	1.1396642	4.722302	51.25	121.06568	0.046986748	25.049303	0.8761811	8.283393	14.510132	4.003308	0.84934074	8.717418	9.33	0.033972308	5.460052	0.7196234	0.71784174	2.5158043	50.66468	0.19973369	0.02128883	1.1
1917	2.383835	3.4875343	1.7319268	7.1036396	109.67	4.8853703	4.9314656	20.67184	27.641893	30.003029	3.3681495	0.07943185	0.5601117	5.4195356	6.7588177	13.820168	0.07946392	42.13704	3.5030277	0.92422587	2.2086244	114.32086	6.813245	2.383835	3.0094056	0.81514585	1.3234894	1.9450529	0.99216497	6.694672	54.18	131.91678	0.06096635	34.994564	1.3128456	11.36839	21.744875	5.1967545	0.938324	10.459751	11.569	0.027520925	7.2430196	0.92422587	1.0294166	4.238919	66.64591	0.2571948	0.02805161	1.56
1918	5.1211195	3.7733662	1.7824453	9.292667	86.01	5.3681936	2.5638413	20.67184	32.478294	17.981195	4.062752	0.08810348	0.9437552	6.2255473	7.1088486	19.036297	0.10195477	48.175774	4.474916	0.9162166	3.1760514	159.12254	10.091591	2.800926	5.4491177	0.94398665	2.0843925	2.042203	0.97539276	7.808099	49.73	119.91096	0.06254144	9.486742	2.7802963	16.008131	28.81643	6.874717	1.0278078	12.523126	13.75	0.032009598	7.334024	0.91630965	1.7398069	4.1808133	148.37994	0.4724515	0.11024494	1.98
1919	3.2848127	4.3305273	2.444744	8.013382	77.05	7.602865	6.6691446	20.67183	36.868393	17.017094	3.2842252	0.092948124	0.79817545	7.4742427	3.128955	15.378006	0.11674464	60.865543	5.5876036	0.9581059	3.517779	128.80885	9.741751	3.1795278	4.0196986	0.8138375	1.9419703	2.1672568	1.4580387	5.684975	59.34	108.85948	0.06685673	4.0869565	2.2605853	17.486345	22.80416	6.8260603	1.5650368	12.725533	15.789	0.036261894	8.188689	0.95772165	1.5259945	3.7447534	119.79434	0.56165844	0.06358364	2.01
1920	3.476994	4.691322	2.5905905	7.7653494	82.08	11.990778	10.25544	20.67184	39.328644	30.204084	6.194006	0.1003849	0.80280715	2.8175263	3.3045359	19.563307	0.15686204	105.66888	6.0564094	1.3376542	3.9024496	147.72337	13.389505	3.3916996	4.2606077	0.80884117	2.323155	2.540926	2.1223435	7.396872	140.15	107.37238	0.06237626	47.565067	2.3577228	16.747953	26.197912	5.7363157	0.9931819	14.404127	14.337	0.045510314	9.085663	1.3423791	1.6377171	5.073878	143.74753	0.5485245	0.06673187	3.07
1921	2.2926536	2.6227126	1.4465963	6.442322	31.36	7.7846074	13.253941	20.67183	18.857468	20.055191	5.1567307	0.05458318	0.7002021	1.2790211	1.9284774	12.783139	0.09966846	53.638924	4.329254	0.8773251	3.6938636	90.43038	6.178145	1.6262667	3.1230242	0.5018324	2.4776156	1.9777358	1.3512989	7.3317046	36.36	75.7498	0.051636945	38.611965	1.8431057	15.273887	13.8804	4.885187	1.0074944	12.014823	8.902	0.021109566	4.311796	0.8773251	1.0794055	4.2668886	92.19568	0.45720878	0.01997561	1.73
1922	1.8201483	2.047693	1.1895455	3.5086775	33.26	5.4834733	7.2630496	20.67184	17.758776	13.656223	3.827823	0.053233273	0.48182684	1.3663603	1.8088967	4.8401227	0.09988934	57.644936	4.0645103	0.610027	3.3136733	83.28804	5.974218	1.5315156	3.31965	0.40381086	1.8117938	1.2336285	1.3087028		32.84	68.61003	0.06202343	25.632921	1.41284	11.986877	11.823679	3.8794954	0.9841943	8.741947	9.596	0.020410111	3.7808845	0.610027	0.82725257	2.743035	62.216724	0.36658847	0.03340242	1.61
1923	1.6487855	2.171054	1.258202	3.2698255	56.68	4.6223583	7.2630496	20.67184	17.912415	13.869444	4.090948	0.06314788	0.46418104	1.3826526	1.3977845	4.8355045	0.09371117	61.36128	4.8392186	0.5331891	2.7914853	106.3632	7.058621	1.5447655	4.3672056	0.41322112	1.3935956	1.1688919	0.762046	5.3281703	58.99	70.16917	0.07329792	11.351494	1.2686691	10.712871	10.4171295	3.54216	0.60790014	8.681079	9.218	0.019040773	3.7084868	0.5331891	0.6892613	1.8583587	60.27583	0.3009673	0.0270992	1.34
1924	1.906836	2.3928277	1.4300128	4.191149	49.96	4.7518573	7.2630496	20.67184	19.477314	14.709569	3.2826054	0.091933765	0.48643944	1.379712	1.4838359	4.894364	0.09408028	70.60677	5.8349895	0.58766526	2.7308514	134.05362	7.573669	1.6797223	4.484054	0.45117408	1.1954732	1.110219	0.83014077	5.1200323	44.8	66.85455	0.079234265	12.023599	1.2521172	8.230468	9.21514	3.4984615	0.60300934	9.390051	9.489	0.01789576	3.6884627	0.58766526	0.7631149	1.4562017	71.40401	0.27472955	0.03169576	1.43
1925	2.1176388	2.4174604	1.4798737	4.41793	138.98	4.083821	7.2630496	20.67183	20.782068	12.443555	3.6657522	0.09877733	0.4871006	1.492812	1.5621374	4.655833	0.08930406	70.64867	7.100325	0.701068	2.7762198	145.13515	6.531542	1.7922442	3.7076235	0.4740938	1.2300833	1.1422858	0.63953936	4.979626	26.27	65.39727	0.0764551	13.53615	1.3958513	7.3032236	8.781312	3.9525363	0.4802806	9.08973	9.814	0.02082646	4.0623035	0.701068	0.7585095	1.3555465	62.960392	0.28189912	0.04288787	1.68
1926	2.036062	2.344361	1.4014543	4.371691	94.67	3.7027197	7.2630496	20.67183	18.184813	11.59568	3.6344163	0.07713017	0.44644356	1.102343	1.58128	4.6217875	0.08920311	60.895916	7.016333	0.6527944	2.8498828	151.6945	4.7588034	1.568257	3.163785	0.3746496	1.281017	1.2259941	0.37545383	4.345037	26.04	64.007935	0.07722351	11.938995	1.2879509	7.0487504	7.895824	3.7114933	0.53812957	8.297755	8.825	0.021567727	3.8182766	0.6527944	0.6946513	1.4470495	62.472588	0.28532597	0.04520355	1.88
1927	2.2277088	2.1469994	1.3367047	3.9768949	72.52	3.8760066	9.637028	20.67183	19.544811	12.414574	4.6811647	0.07271884	0.45291358	1.1111441	1.5511113	4.248758	0.08575366	66.70344	7.042741	0.6162836	2.770113	151.6609	4.2632303	1.6855432	2.7429643	0.36577243	1.2020813	1.0892719	0.39682427	4.294371	30.96	60.611065	0.07743217	9.597926	1.3763515	7.9993215	7.860038	3.3015885	0.6758917	8.28406	8.01	0.030115763	4.1854157	0.6162836	0.653822	1.4286368	81.56099	0.27992848	0.04992462	1.3
1928	2.1227174	2.182145	1.3537012	3.6296215	42.82	3.5695906	11.166279	20.67184	18.174927	11.671999	4.035656	0.0776333	0.43280327	1.1031891	1.5847135	4.2174907	0.08004022	64.13183	6.9049826	0.55642426	2.5788448	128.38922	5.2538476	1.5674044	3.8171544	0.44753835	1.4782236	1.0742403	0.15015523	4.539803	25.57	67.01435	0.07016206	9.807581	1.3942657	10.336811	8.369273	3.550423	0.51629233	8.513782	9.267	0.027249796	5.545139	0.55642426	0.67127204	1.3764652	66.430374	0.29530033	0.04659584	1.17
1929	2.0606966	1.925135	1.2811128	3.8379626	39.28	2.8647912	13.445243	20.67184	17.391909	12.203957	4.700695	0.07343509	0.37802225	1.2160838	1.8048267	5.3820024	0.05589424	55.091965	6.7434254	0.51700675	2.5105057	115.460335	4.912787	1.499877	3.9376583	0.43777552	1.6011497	1.1183383	0.23293768	4.183721	20.17	81.82202	0.06716818	9.949208	1.3777543	10.02875	8.748475	3.8174856	0.54050696	8.551529	7.53	0.022064667	4.360036	0.51700675	0.7152654	1.3748944	66.57959	0.30351245	0.03423941	1.27
1930	2.0475316	1.7316183	0.989878	3.8636184	19.64	2.8676376	2.93301	20.67184	16.18567	10.781175	4.270213	0.054294944	0.3778719	1.1568314	1.8083465	5.6417727	0.06595706	45.815464	5.8547363	0.41101667	2.5809376	80.89963	3.6044269	1.3958511	2.7396538	0.2907933	1.4439186	1.1856234	0.20566192	4.4656534	14.43	61.478233	0.06298491	10.051807	1.2651521	9.825127	8.000684	3.5152102	0.46368238	6.8707576	5.421	0.019880239	3.329753	0.41101667	0.61706316	1.3523362	46.676247	0.2866664	0.02894449	1.19
1931	1.5661404	1.1538005	0.70677614	3.8038487	11.74	2.7861483	1.6573287	20.67	10.80292	9.728819	3.06878	0.038568687	0.3426969	0.65290064	1.5911509	4.6410584	0.05826666	49.74693	5.375416	0.25436652	2.5197415	59.9295	2.4087992	0.9316431	2.1237645	0.18623452	1.1663209	1.0549382	0.1643717	4.4798536	13.02	42.173252	0.05531886	8.864389	1.1355716	9.60437	6.8972945	2.6888757	0.418048	5.7440686	4.078	0.013262895	2.610567	0.25436652	0.5312623	1.3101526	43.272175	0.27998197	0.02360024	0.65
1932	1.378011	1.207451	0.7579922	3.4887238	6.58	2.178838	1.007293	20.67183	12.832475	9.181789	2.0800407	0.03537239	0.25892136	0.59017885	1.2704985	4.5899115	0.0576884	47.609264	4.7625256	0.3074129	2.4878922	67.146034	2.4161046	1.1066717	1.6566849	0.21738172	0.9972142	0.9871507	0.14195666	5.557238	8.33	35.301254	0.044791114	7.6878533	1.0449967	9.103271	5.435942	2.3959215	0.3694499	4.908338	3.963	0.013573621	2.194376	0.3074129	0.4533017	1.3004546	39.090057	0.25975713	0.01469751	0.87
1933	0.7934385	0.9921257	0.65202063	3.1294215	11.32	1.778829	0.74450177	25.56	10.80292	8.816229	1.7829715	0.037443724	0.27340847	0.6895048	1.2982972	4.2768664	0.055541653	42.565483	4.3966637	0.27590743	2.7536757	110.002556	3.0967972	0.9713367	1.2985809	0.2001604	0.89471614	0.9222462	0.120930836	5.161993	11.38	36.44025	0.04934735	4.228532	0.9348345	10.027433	6.3064265	2.4731789	0.5252433	3.8883765	4.935	0.011728261	2.3645382	0.27590743	0.39767858	1.2547278	35.774952	0.26387674	0.01538927	0.67
1934	0.70272595	0.72772425	0.50114447	1.6688102	24.82	1.5298504	0.8450727	34.94998	12.832475	8.6209755	1.9966453	0.047031824	0.26764446	0.7671526	1.1268852	4.1165824	0.07055569	31.414356	4.6294055	0.2690554	2.6104178	134.53526	3.3357046	0.77519506	1.1851515	0.21733785	0.9359636	0.96289384	0.15096761	5.1148586	13.96	33.38493	0.054779846	3.3450696	0.9452251	9.4176445	6.712889	2.6593173	0.67956454	3.4317024	6.816	0.010472953	2.4100413	0.2690554	0.37637064	1.361221	42.954536	0.2737409	0.01404504	1.0
1935	0.85637313	0.92192876	0.61026335	2.7175233	23.63	1.4761211	0.69850457	34.94221	13.443141	8.260078	2.4319437	0.04118137	0.23821494	0.677223	1.1879162	4.2307544	0.069491364	31.057722	3.8263695	0.30094963	2.5445712	128.22142	3.4879818	1.130812	1.4723529	0.20479321	0.87141865	1.0113294	0.17111859	5.5977116	18.53	34.87455	0.054378398	3.2505162	1.0200846	9.279911	7.565436	2.631488	0.728231	4.093262	9.132	0.01083787	2.4007447	0.30094963	0.39300668	1.3999479	44.960854	0.27417284	0.01744862	0.97
1936	0.9878923	1.1163294	0.74222535	2.5582485	31.55	4.8483453	0.5764706	35.0	13.466778	8.513296	2.553746	0.0480672	0.22077844	0.86533237	1.2470517	4.100722	0.06788458	34.589474	3.5383768	0.37659195	2.585387	117.80833	3.7753787	1.150667	1.7864541	0.22187935	0.89539164	1.185757	0.14176528	6.633447	20.29	42.237953	0.05490775	3.2858996	1.0374861	7.552931	7.9186015	2.7011547	0.4871711	4.556653	6.407	0.012414119	2.7241008	0.37659195	0.40175426	1.4929144	51.757973	0.26942518	0.02117099	1.09
1937	0.94084364	1.3606132	0.9324213	4.280393	36.96	5.5039215	0.53871983	35.0	14.760072	8.63635	3.5519857	0.06341181	0.22579809	0.9440137	1.4353946	3.9181974	0.066955306	45.257706	3.4355552	0.51460785	2.6805882	144.3021	3.8863254	1.0307556	2.1510854	0.29874423	0.9668957	1.5834767	0.18551452	6.1254544	20.64	61.15774	0.060747277	3.7337916	0.9088206	6.4050527	9.741387	2.8270357	0.513312	5.02916	6.377	0.02139064	3.5497954	0.51460785	0.42209122	1.6557088	73.00948	0.26644135	0.02549217	1.18
1938	0.90683323	0.97460085	0.67921376	4.9069247	27.93	5.511526	0.46863493	35.0	11.051055	8.321622	2.8045285	0.046553247	0.21896401	0.90716517	1.5419692	4.3262515	0.067268305	35.830425	3.4816444	0.37991464	2.77063	103.189285	3.1048331	0.9476669	1.6547023	0.3073899	1.0993301	1.8042897	0.15466635	7.1146183	17.01	45.4598	0.058476217	4.746654	0.9319887	6.4461803	10.818679	2.9286387	0.701299	5.3449883	6.143	0.011154291	2.644398	0.51844704	0.44677168	1.6248472	47.800083	0.2672011	0.01960961	1.13
1939	1.021108	0.8888166	0.6294562	3.2883954	33.5	5.9048243	0.42322314	35.0	10.878639	8.01991		0.04294675	0.23019905		1.2808558	4.4838324	0.06395591		3.2773333	0.37238285	2.7509928	123.87691	3.0162559	0.922682	1.6794875	0.2830857	1.16159				17.71	49.914055	0.05933949	5.5268826	0.9441623			2.98215	0.6960164	5.542475	5.553	0.010478086	2.7368813	0.37238285	0.4530149	1.7942717	47.56036	0.2730921	0.01990334	1.02
1940	1.497925	1.0500463	0.73445714	4.7608833	38.17	17.55925	0.4495563	35.0	15.398658	9.454049		0.060557563	0.3201933		2.0591066	8.839728	0.062449194		3.0895145	0.582569	3.574944	135.565	4.634982	1.3070567	2.2773385	0.3723728	1.281945				15.95	55.845074	0.06384088	6.218842	1.257039			3.3206582	0.8329824	6.233691	4.941	0.01490834	3.4740062	0.582569	0.6778072	3.8279283	48.82217	0.3022044	0.02698837	1.02
1941	1.1395975	1.0373768	0.86720914	5.904038	42.4	21.456964	0.3364152	35.0	17.811378	10.434343		0.06368834	0.4098513		1.9062344	13.756611	0.0839525		3.2717364	0.7268688	3.4975607	154.03516	5.2394905	1.533338		0.40305874	1.2966421	3.971899			19.82	57.50096	0.06270597	9.272564	1.6645322			3.8848748	0.45782226	6.3767896	4.942	0.014536874	3.6144636	0.7268688	0.82302153	5.4085712	65.9469	0.29200044		1.14
1942	2.4616797	1.1623875	0.87300265	6.400794	43.15	12.802033	0.30574486	35.0	19.032946	11.307151		0.06556671			2.4162602		0.077522226		3.76439	0.8017206	3.8746965	190.84427	5.0919056	1.6372328		0.40317282	1.6698974	3.9558115			29.67	63.71935	0.06673445	21.669802	2.0615976			4.561112	0.6185458	6.606512	5.446	0.014517056	4.0803623	0.8017206	0.98839265	5.4110374	141.0	0.4748397		1.19
1943	2.3231473	2.1842873	1.1028816	6.442214	43.15	16.95895	0.28132254	35.0	31.573658	11.675478		0.06907488			2.842596	9.681818	0.08255002		3.7329986	0.675655	4.201142	210.6515	6.8625803	2.6789536	4.063291	0.41655192	1.5533506	4.1613197			28.62	62.997784	0.0768722	24.253405	1.6312268			4.9737597	0.67422014	6.8625083	6.359	0.014739724	4.1685104	0.675655	1.1272994	5.124656		0.48682877	0.04815341	1.2
1944	2.249701	2.1734374	1.247567	6.0764375	43.15	17.774523	0.28185064	35.0	30.128471	11.586422		0.06961741			3.3867018		0.14145266		3.9322639	0.76250255	4.474794	215.37323	6.8462825	2.5600743	2.9479315	0.50974905	1.9360212	4.2050114			28.97	59.208015	0.08126253	23.560528	1.4379979			4.684088	0.6570389	6.9155345	6.359	0.016552115	4.336483	0.76250255	1.0924045	5.0953245		0.6733663	0.03493546	1.21
1945	2.0958457	2.508265	1.2238432	5.788991	43.15	22.031588	0.18554424	35.0	29.53161	12.754102	2.66523	0.070354156	0.7858431	2.2305906	3.9423301		0.1384463		4.3680205	0.80376893	4.785926	207.8862	6.8246403	2.5016735	4.058133	0.48730987	1.6048107	3.634026	0.3919033	9.220145	34.48	62.257866	0.08404152	21.39215	1.7893478		20.421692	4.8706927	0.67563766	8.338367	7.379	0.016575433	4.3143377	0.80376893	1.1691105	5.057946		0.6884581	0.04809229	1.22
1946	6.8068185	2.9278264	1.3385645	5.8441463	43.15	5.9577403	0.48004946	35.0	27.68951	14.502417	3.0149655	0.07941769	0.77725637	2.536896	3.796205	12.940695	0.15140031		4.9345965	0.9828566	5.5810857	196.48326	7.0947223	2.3604283	4.6680465	0.963299	1.6901814	2.8074052	0.4528251	12.591223	41.63	74.482056	0.088791125	22.65756	2.3457475		18.725279	5.145808	0.8083119	8.836154	11.389	0.020988513	5.2749553	0.9828566	1.14163	5.0942187	347.88025	0.73515666	0.05532028	1.41
1947	6.104788	3.6037347	2.2580397	5.6342053	40.22	10.160616	0.51696813	35.0	30.01518	21.456442	3.2737718	0.096590266	0.6575696	4.1454015	4.093633	13.067163	0.1597866		6.383162	1.0891296	6.590737	236.29218	9.12492	2.5302966	5.0276394	1.0837017	1.8673743	2.75511	0.47184354	14.368971	56.29	118.732895	0.11522446	23.317848	3.0982442	26.75158	28.945383	5.2497106	0.9218731	9.922225	10.205	0.055112112	8.518606	1.0891296	1.1639456	4.239013	449.32	0.80051166	0.05958176	1.93
1948	6.730847	4.2324004	2.7217271	6.448763	42.21	10.8087435	0.48552826	35.0	45.040207	25.070818	3.001766	0.127763	0.60971403	4.2765026	3.0668056	14.510116	0.15158324		5.7295775	1.1289891	6.9668164	289.65305	17.66025	3.728448	3.9127007	1.3132029	2.1528082	2.8174057	0.50155514	14.902413	49.61	120.42472	0.13423105	25.848951	2.9068604	25.388079	34.515488	5.566027	1.3292594	12.441655	10.566	0.09047316	8.750555	1.1289891	1.3941921	4.0662265	281.256	0.7219123	0.04636879	2.6
1949	3.186224	4.8774233	3.306874	6.8964233	33.68	11.778054	0.43015265	32.0	49.319412	20.541088	2.96867	0.15568176	0.60446393	4.053173	3.5290241	14.155292	0.17073962		6.3842416	1.2828655	7.2935824	290.44785	17.647026	4.128088	4.785877	1.3979844	2.5795872	2.8901212	0.48088145	11.919513	48.79	122.156944	0.13983962	28.878584	3.0913274	21.753252	27.533512	6.528408	2.0250406	13.660421	10.221	0.063042454	9.213917	1.2828655	1.454739	4.3820305	266.99808	0.76742494	0.05671666	2.54
