iso	year	name	coloniser
"SOM"	2006	"Somalia"	"Italy"
"SOM"	2007	"Somalia"	"Italy"
"SOM"	2008	"Somalia"	"Italy"
"SOM"	2009	"Somalia"	"Italy"
"SOM"	2010	"Somalia"	"Italy"
"SOM"	2011	"Somalia"	"Italy"
"SOM"	2012	"Somalia"	"Italy"
"SOM"	2013	"Somalia"	"Italy"
"SOM"	2014	"Somalia"	"Italy"
"SOM"	2015	"Somalia"	"Italy"
"LBY"	1890	"Libya"	"Italy"
"LBY"	1891	"Libya"	"Italy"
"LBY"	1892	"Libya"	"Italy"
"LBY"	1893	"Libya"	"Italy"
"LBY"	1894	"Libya"	"Italy"
"LBY"	1895	"Libya"	"Italy"
"LBY"	1896	"Libya"	"Italy"
"LBY"	1897	"Libya"	"Italy"
"LBY"	1898	"Libya"	"Italy"
"LBY"	1899	"Libya"	"Italy"
"LBY"	1900	"Libya"	"Italy"
"LBY"	1901	"Libya"	"Italy"
"LBY"	1902	"Libya"	"Italy"
"LBY"	1903	"Libya"	"Italy"
"LBY"	1904	"Libya"	"Italy"
"LBY"	1905	"Libya"	"Italy"
"LBY"	1906	"Libya"	"Italy"
"LBY"	1907	"Libya"	"Italy"
"LBY"	1908	"Libya"	"Italy"
"LBY"	1909	"Libya"	"Italy"
"LBY"	1910	"Libya"	"Italy"
"LBY"	1911	"Libya"	"Italy"
"LBY"	1912	"Libya"	"Italy"
"LBY"	1913	"Libya"	"Italy"
"LBY"	1914	"Libya"	"Italy"
"LBY"	1915	"Libya"	"Italy"
"LBY"	1916	"Libya"	"Italy"
"LBY"	1917	"Libya"	"Italy"
"LBY"	1918	"Libya"	"Italy"
"LBY"	1919	"Libya"	"Italy"
"LBY"	1920	"Libya"	"Italy"
"LBY"	1921	"Libya"	"Italy"
"LBY"	1922	"Libya"	"Italy"
"LBY"	1923	"Libya"	"Italy"
"LBY"	1924	"Libya"	"Italy"
"LBY"	1925	"Libya"	"Italy"
"LBY"	1926	"Libya"	"Italy"
"LBY"	1927	"Libya"	"Italy"
"LBY"	1928	"Libya"	"Italy"
"LBY"	1929	"Libya"	"Italy"
"LBY"	1930	"Libya"	"Italy"
"LBY"	1931	"Libya"	"Italy"
"LBY"	1932	"Libya"	"Italy"
"LBY"	1933	"Libya"	"Italy"
"LBY"	1934	"Libya"	"Italy"
"LBY"	1935	"Libya"	"Italy"
"LBY"	1936	"Libya"	"Italy"
"LBY"	1937	"Libya"	"Italy"
"LBY"	1938	"Libya"	"Italy"
"LBY"	1939	"Libya"	"Italy"
"LBY"	1940	"Libya"	"Italy"
"LBY"	1941	"Libya"	"Italy"
"LBY"	1942	"Libya"	"Italy"
"LBY"	1943	"Libya"	"Italy"
"LBY"	1944	"Libya"	"Italy"
"LBY"	1945	"Libya"	"Italy"
"LBY"	1946	"Libya"	"Italy"
"LBY"	1947	"Libya"	"Italy"
"LBY"	1948	"Libya"	"Italy"
"LBY"	1949	"Libya"	"Italy"
"LBY"	1950	"Libya"	"Italy"
"LBY"	1951	"Libya"	"Italy"
"LBY"	1952	"Libya"	"Italy"
"LBY"	1953	"Libya"	"Italy"
"LBY"	1954	"Libya"	"Italy"
"LBY"	1955	"Libya"	"Italy"
"LBY"	1956	"Libya"	"Italy"
"LBY"	1957	"Libya"	"Italy"
"LBY"	1958	"Libya"	"Italy"
"LBY"	1959	"Libya"	"Italy"
"LBY"	1960	"Libya"	"Italy"
"LBY"	1961	"Libya"	"Italy"
"LBY"	1962	"Libya"	"Italy"
"LBY"	1963	"Libya"	"Italy"
"LBY"	1964	"Libya"	"Italy"
"LBY"	1965	"Libya"	"Italy"
"LBY"	1966	"Libya"	"Italy"
