STU_ID	weights_notvc	weights_tvc	weights_all_pscore
103210.0	1.0	1.0	1.0
103212.0	1.0	1.0	1.0
103219.0	1.0	1.0	1.0
103223.0	1.0	1.0	1.0
103225.0	1.0	1.0	1.0
103230.0	1.0	1.0	1.0
103308.0	1.0	1.0	1.0
103315.0	1.0	1.0	1.0
103317.0	1.0	1.0	1.0
103318.0	1.0	1.0	0.9999999999999999
103319.0	1.0		1.0
103320.0	0.2661624786533301	0.49283963359566507	2.538103199837549
103323.0	1.0	1.0	1.0
103324.0	1.0		0.9999999999999999
104101.0	1.0	1.0	1.0
104104.0	1.0	1.0	1.0
104107.0	1.0	1.0	1.0
104108.0	1.0	1.0	1.0
104109.0	1.4638936325933154	0.3696297251967488	1.6233644764641153
104110.0	1.0	1.0	1.0
104111.0	1.0	1.0	1.0
104112.0	1.0	1.0	1.0
104113.0	1.0	1.0	1.0
104115.0	1.0	1.0	0.9999999999999999
104116.0	1.0	1.0	1.0
104119.0	1.0	1.0	1.0
104122.0	1.0	1.0	1.0
104124.0	1.0	1.0	1.0
104201.0	1.0	1.0	1.0
104202.0	1.0	1.0	1.0
104203.0	0.5323249573066602	0.8624693587924139	4.400208919942778
104204.0	1.0	1.0	1.0
104205.0	1.0	1.0	1.0
104207.0	1.0	1.0	1.0
104208.0	1.0	1.0	1.0
104213.0	1.0	1.0	1.0
104214.0	1.0	1.0	1.0
104217.0	1.0		1.0
104218.0	1.0	1.0	1.0
104220.0	1.0	1.0	1.0
104222.0	1.0	1.0	1.0
104223.0	1.0	1.0	1.0
104228.0	1.0		1.0
104231.0	1.0	1.0	1.0
105101.0	1.0	1.0	1.0
105102.0	1.0	1.0	1.0
105107.0	1.0	1.0	1.0
105109.0	1.0	1.0	1.0
105112.0	1.0	1.0	1.0
105114.0	0.2661624786533301	0.6160495419945814	1.8769885890448785
105115.0	1.0	1.0	1.0
105118.0	1.0		1.0
105120.0	0.9315686752866553	0.49283963359566507	3.1522313478484465
105121.0	0.2661624786533301	0.12320990839891627	1.8769885890448785
105123.0	1.0	1.0	1.0
105124.0	4.924005855086606		24.624949133591766
105125.0	1.0	1.0	1.0
