scenario_id,scenario_number,true_lag_order,rho_D,carryover,N,T,replication,seed,estimator_id,estimator,selection_criterion,selected_lag,selection_correct,control_spec,beta_true,beta_hat,se,ci_lower,ci_upper,coverage_cet,residual_acf1,aic,bic,nobs,n_clusters,condition_number,delta_z_lag_minus_none,delta_z_contemporaneous_minus_none,status,error_stage,error_message
"L1_RD20_CO00",1,1,0.2,0,100,30,2,14172028,"adl_aic","ADL, AIC-selected lag","AIC",3,FALSE,"Z_lag",1,0.997401931700827,0.0194421953037725,0.959295929125039,1.03550793427661,TRUE,-0.000736059903312355,-76.8471309295708,-28.7961903883688,3000,100,26.9477084882613,-0.0413424070367863,-0.0453910908981339,"ok",NA,NA
"L1_RD20_CO00",1,1,0.2,0,100,30,2,14172028,"adl_aic","ADL, AIC-selected lag","AIC",3,FALSE,"Z_contemporaneous",1,0.993353247839479,0.02038404830987,0.953401247293009,1.03330524838595,TRUE,-0.0247997967014809,-6.15662194517546,41.8943185960265,3000,100,27.0232374456456,-0.0413424070367863,-0.0453910908981339,"ok",NA,NA
"L1_RD20_CO00",1,1,0.2,0,100,30,2,14172028,"adl_bic","ADL, BIC-selected lag","BIC",1,TRUE,"no_Z",1,1.03876557689544,0.0198749085054786,0.999811472028674,1.07771968176221,TRUE,-0.00598028799769558,76.7019372924565,94.7210399954072,3000,100,7.67639997484268,-0.0412430385442116,-0.0456650880355385,"ok",NA,NA
"L1_RD20_CO00",1,1,0.2,0,100,30,2,14172028,"adl_bic","ADL, BIC-selected lag","BIC",1,TRUE,"Z_lag",1,0.99752253835123,0.0195913592996216,0.959124179715787,1.03592089698667,TRUE,0.000554658123822625,-75.5838478049844,-51.5583775343834,3000,100,7.30722128522406,-0.0412430385442116,-0.0456650880355385,"ok",NA,NA
"L1_RD20_CO00",1,1,0.2,0,100,30,2,14172028,"adl_bic","ADL, BIC-selected lag","BIC",1,TRUE,"Z_contemporaneous",1,0.993100488859903,0.0205518947737001,0.952819515289393,1.03338146243041,TRUE,-0.0291467403649589,-4.86158098438132,19.1638892862197,3000,100,7.25815326593745,-0.0412430385442116,-0.0456650880355385,"ok",NA,NA
"L1_RD20_CO00",1,1,0.2,0,100,30,3,14172029,"adl_1","ADL(1), fixed lag","fixed",1,TRUE,"no_Z",1,1.03526362949821,0.0206304038659422,0.994828780934447,1.07569847806197,TRUE,0.00806235975770861,-35.7388714419829,-17.7197687390321,3000,100,7.68853946221971,-0.0279416510859294,-0.043077688876902,"ok",NA,NA
"L1_RD20_CO00",1,1,0.2,0,100,30,3,14172029,"adl_1","ADL(1), fixed lag","fixed",1,TRUE,"Z_lag",1,1.00732197841228,0.0201215306085956,0.967884503105613,1.04675945371895,TRUE,0.0133893155394959,-198.964621963834,-174.939151693233,3000,100,7.50164280981863,-0.0279416510859294,-0.043077688876902,"ok",NA,NA
"L1_RD20_CO00",1,1,0.2,0,100,30,3,14172029,"adl_1","ADL(1), fixed lag","fixed",1,TRUE,"Z_contemporaneous",1,0.992185940621308,0.0208747098981833,0.951272261033147,1.03309962020947,TRUE,-0.0191984643269069,-159.613908054846,-135.588437784245,3000,100,7.20054037735158,-0.0279416510859294,-0.043077688876902,"ok",NA,NA
"L1_RD20_CO00",1,1,0.2,0,100,30,3,14172029,"adl_2","ADL(2), fixed lag","fixed",2,FALSE,"no_Z",1,1.03758053772389,0.0206349270813123,0.997136823820905,1.07802425162687,TRUE,0.00444669710200381,-37.8495628075107,-7.81772496925947,3000,100,18.3717538349877,-0.0284499529255615,-0.0433504715676838,"ok",NA,NA
"L1_RD20_CO00",1,1,0.2,0,100,30,3,14172029,"adl_2","ADL(2), fixed lag","fixed",2,FALSE,"Z_lag",1,1.00913058479833,0.0201493961265162,0.969638494080123,1.04862267551653,TRUE,-0.000790248412902615,-203.18010682432,-167.141901418419,3000,100,17.6631187607596,-0.0284499529255615,-0.0433504715676838,"ok",NA,NA
