prob_switch,delta_D,delta_Y,rho_Z,twfe_s_bias,twfe_s_mcse,twfe_s_sd,twfe_s_rmse,twfe_l_bias,twfe_l_mcse,twfe_l_sd,twfe_l_rmse,adl_Ylag_bias,adl_Ylag_mcse,adl_Ylag_sd,adl_Ylag_rmse,adl_full_bias,adl_full_mcse,adl_full_sd,adl_full_rmse,adl_Dlag_bias,adl_Dlag_mcse,adl_Dlag_sd,adl_Dlag_rmse,adl_DYlag_bias,adl_DYlag_mcse,adl_DYlag_sd,adl_DYlag_rmse,adl_DZlag_bias,adl_DZlag_mcse,adl_DZlag_sd,adl_DZlag_rmse,adl_all_bias,adl_all_mcse,adl_all_sd,adl_all_rmse,adl_all_nofe_bias,adl_all_nofe_mcse,adl_all_nofe_sd,adl_all_nofe_rmse,mean_theta,mean_pi,mean_ivb,mean_ivb_formula,mean_se_short,mean_se_long,mean_se_adl_all,mean_abs_ivb_over_beta,mean_abs_ivb_over_se,n_sims,n_explosive,n_collinear,n_discarded
0.5,0.3,0.1,0.5,1.02218184607789,0.00669715481067756,0.149752934125148,1.03307154439939,0.775649587260834,0.00598931947883678,0.133925254936426,0.787103795048576,0.145034698726272,0.00383513741024635,0.0857562795236333,0.168447306399955,0.0775350432776025,0.00371039273345911,0.0829669037523582,0.113496356946275,-0.0586297926545805,0.00827915850190123,0.185127612067465,0.194013249215153,-0.019262187237835,0.00682281464676988,0.152562773480587,0.153622527350549,-0.0415099614146689,0.00790176544734465,0.176688846825217,0.18132729411726,-0.0121345165773219,0.00672397745986233,0.150352706794285,0.150691642303258,-0.00742479281202269,0.00726579100303159,0.16246802593085,0.162475214353664,0.32445322263524,0.758869669578613,-0.246532258817054,-0.246532258817054,0.0866417530095003,0.0834735164059159,0.149646502371672,0.246532258817054,2.95522994815013,500,0,0,0
0.5,0.3,0.1,0.7,1.13357606389143,0.00746435611155479,0.166908076737025,1.14577366093635,0.751727842645487,0.00607592366448254,0.135861783398826,0.76388235792455,0.15716232437148,0.00395110955092455,0.0883494954241597,0.180249877328298,0.0829106018460217,0.00376316069933353,0.0841468313396543,0.118070723486073,-0.101592035000634,0.00852876017511706,0.190708875153548,0.215912197172315,-0.0270848369669119,0.0065461495384249,0.14637635358797,0.148717091181394,-0.0534594497809225,0.00771958775565729,0.172615229799247,0.180539021528335,-0.00948299274965347,0.0063576159015872,0.142160613307826,0.142334633338464,0.00120751578848388,0.0065993438709027,0.14756581502235,0.147423120703855,0.353141720145445,1.08149070640799,-0.381848221245942,-0.381848221245942,0.0898054629806022,0.0842302737083009,0.149839187545011,0.381848221245942,4.53416602973394,500,0,0,0
0.5,0.3,0.3,0.5,1.29282523008719,0.0072328241227378,0.16173086407742,1.30288204922795,0.668647089698589,0.0053688517509401,0.120051174762208,0.679317591819213,0.197472296642116,0.00375721248359061,0.0840138251921943,0.214568203886059,0.111640562671729,0.00357946381890913,0.0800392442208182,0.137321095567539,-0.0786226508491356,0.0090927532850135,0.203320144479247,0.217802489001629,-0.00412393955462054,0.00707122844378741,0.158117474847387,0.158013102171497,-0.0299012396722976,0.00799313626776412,0.178731960481395,0.181039519453815,0.00522639395324309,0.0069057405387392,0.154417052795969,0.154351067814768,0.012834483474923,0.00709960310198677,0.158751951493108,0.159111601414644,0.420074599364709,1.48607785679221,-0.624178140388601,-0.624178140388601,0.0904809063721992,0.0842963351746359,0.149485929269058,0.624178140388601,7.4046306129785,500,0,0,0
0.5,0.3,0.3,0.7,1.51122263084426,0.00867250855114246,0.193923186558027,1.52358945581023,0.609453243743509,0.00547606730512537,0.122448587436244,0.62160833775094,0.215086241271552,0.00404615613568919,0.0904748016697888,0.233305399727562,0.114450966923872,0.00375475662352336,0.0839589104916582,0.141894412446205,-0.221340603116377,0.00893463671469305,0.199784550483191,0.298036409632227,-0.0623904714255365,0.00700854440777217,0.156715817191046,0.16853278193824,-0.0649764627688256,0.00735050833344816,0.164362363027688,0.176586797697999,-0.0262496488577281,0.00671137506707842,0.150070908724846,0.152201442684897,-0.00679697267374846,0.00723576312643711,0.161796582197998,0.161777552770646,0.410238850232961,2.19793089146305,-0.901769387100753,-0.901769387100753,0.0960906858934088,0.084981656735294,0.149811264405514,0.901769387100753,10.6057367917442,500,0,0,0
0.7,0.1,0.1,0.5,0.867745156440895,0.00608964964857948,0.136168705733814,0.878343036128262,0.736459288926054,0.00526870260759772,0.117811771838189,0.745804356786654,0.0833092698590472,0.00337519610340399,0.0754716792460374,0.11236110031469,0.0744797625301583,0.00319985141981085,0.0715508529259628,0.103230424448767,-0.053185560030984,0.00712770919018069,0.15938042273094,0.167869052262181,-0.00691894221084555,0.00570992163398441,0.127677729197858,0.127737508545346,-0.0384164983384959,0.00662728539232967,0.148190606435405,0.152945618664326,-0.00177642824537994,0.00548953183789897,0.122749663541915,0.122639718840044,-0.000399546409652229,0.00590006326789098,0.131929425385538,0.131798035544262,0.321896600577336,0.407171887571811,-0.131285867514842,-0.131285867514841,0.0788648528565871,0.0753975803657482,0.126693381064091,0.131285867514842,1.74010310260247,500,0,0,0
0.7,0.1,0.1,0.7,0.915375830466212,0.00634434292588758,0.141863820548545,0.926281816670917,0.720614770361796,0.00529419302439098,0.118381754885434,0.730254653304968,0.066832532024719,0.00357616969330965,0.0799655853331496,0.104155139982782,0.0753028486669405,0.00342419670211811,0.0765673659426669,0.10733757693231,-0.0889625932505825,0.00684543624379068,0.153068607767568,0.176910942805702,-0.0189500407518786,0.00581019523665302,0.129919915117016,0.131166039887703,-0.0501646230822962,0.00630285737133868,0.140936175347989,0.14946494210906,-0.00600326887396929,0.00565568604276461,0.126464984510185,0.126481005529368,0.00106404315124231,0.00626770349607296,0.140150110800322,0.140013933728239,0.349151925027342,0.556827670156782,-0.194761060104416,-0.194761060104416,0.0813609282913646,0.0755394359671088,0.126850631245209,0.194761060104416,2.57426175995529,500,0,0,0
0.7,0.1,0.3,0.5,1.07022570408152,0.00624867194084098,0.13972455228816,1.07929002695655,0.63550732351886,0.0049969503824215,0.111735207352881,0.645235883452844,0.111585506092429,0.00337723188095305,0.0755172006159049,0.134695089233381,0.0863550020568153,0.00335131383991555,0.0749376555998703,0.114287389079389,-0.11035476504532,0.00695133630906284,0.15543660521527,0.190500370951276,-0.0228557526238685,0.00545089776984493,0.121885779517753,0.12389034018097,-0.0545019856064894,0.00639159595340675,0.142920430365301,0.152826252168995,-0.012218506210223,0.00546409104606278,0.122180790142443,0.122668582297511,-0.0015032791174967,0.005719970210407,0.127902422197438,0.127783298567806,0.420996218389962,1.03265176260254,-0.434718380562655,-0.434718380562655,0.0824009459431582,0.0756016591922837,0.126773241277448,0.434718380562655,5.74597947376356,500,0,0,0
0.7,0.1,0.3,0.7,1.18935196395124,0.00749943127096052,0.167692381144554,1.20109224765595,0.611660486426367,0.00484570989390244,0.108353367220092,0.621164649621093,0.102168231365474,0.00351401735218296,0.0785758167359491,0.128841601038326,0.0944189578422669,0.00324283839106894,0.0725120708247621,0.119005983103727,-0.221502273572337,0.00772687060570007,0.172778079276903,0.280812779885412,-0.0590972811170949,0.00585858236190203,0.131001884129942,0.14359547100705,-0.0546231195911224,0.00668720830073164,0.149530523401368,0.159054531113376,-0.0176285634394728,0.00576573508650935,0.128925755936905,0.129997588792078,-0.00079760635248427,0.00593608171924523,0.132734822442262,0.132604419980989,0.408519156632617,1.4140962421407,-0.577691477524874,-0.577691477524874,0.0870539414249103,0.0757535155924789,0.12693324719645,0.577691477524874,7.61434872050458,500,0,0,0
0.7,0.3,0.1,0.5,0.976685721406194,0.00570102591457423,0.127478814864759,0.984953473490795,0.737739044476921,0.0052426673076953,0.117229604834225,0.746976701400258,0.139784508103504,0.0033789961264035,0.075556650343467,0.158861884988317,0.0772508772389839,0.003344719944459,0.0747902116150964,0.10747132936796,-0.0769952875275385,0.00694977992529856,0.15540180341631,0.173290782690481,-0.0162309121595197,0.00586695012947849,0.131188993101151,0.132058976660438,-0.05427237003789,0.00657838070508231,0.147097064384371,0.156651720090551,-0.0076519154790814,0.00573483611431339,0.128234833914255,0.128334859232624,0.000388008733819722,0.00622383654403566,0.139169215933111,0.139030518494637,0.331985899670221,0.719326197335375,-0.238946676929273,-0.238946676929273,0.0793985260969889,0.0764002694603971,0.126982304476249,0.238946676929273,3.12540117691308,500,0,0,0
0.7,0.3,0.1,0.7,1.06346408369727,0.00618175567491446,0.138228259094038,1.07239204343515,0.709666904177359,0.00505879423763828,0.113118077995434,0.718607836761414,0.137685156939326,0.00339197476626922,0.0758468615534194,0.157157384032999,0.0761909705634078,0.00322156856678263,0.0720364630950252,0.104804281909684,-0.106866296875121,0.00772091283288745,0.172644859426868,0.202896624908724,-0.0256889723229036,0.00597400853000258,0.133582891712494,0.135899313756038,-0.0560035631863026,0.00693001532938917,0.154959853616298,0.164623601618605,-0.00777105188626237,0.00578360817844883,0.129325410422353,0.12942952099412,-0.00333103092814813,0.00599045046643831,0.133950544588014,0.133857979462111,0.357556428079511,0.989376126675604,-0.353797179519914,-0.353797179519914,0.0819559197939785,0.0766972002102218,0.126748554338762,0.353797179519914,4.6085298910151,500,0,0,0
