nl_type,nl_strength,nl_Y,rho_Z,TT,twfe_s_bias,twfe_s_mcse,twfe_s_sd,twfe_s_rmse,twfe_l_bias,twfe_l_mcse,twfe_l_sd,twfe_l_rmse,adl_Ylag_bias,adl_Ylag_mcse,adl_Ylag_sd,adl_Ylag_rmse,adl_full_bias,adl_full_mcse,adl_full_sd,adl_full_rmse,adl_Dlag_bias,adl_Dlag_mcse,adl_Dlag_sd,adl_Dlag_rmse,adl_DYlag_bias,adl_DYlag_mcse,adl_DYlag_sd,adl_DYlag_rmse,adl_DZlag_bias,adl_DZlag_mcse,adl_DZlag_sd,adl_DZlag_rmse,adl_all_bias,adl_all_mcse,adl_all_sd,adl_all_rmse,adl_all_nofe_bias,adl_all_nofe_mcse,adl_all_nofe_sd,adl_all_nofe_rmse,n_sims,n_discarded
log2,0,FALSE,0.7,10,0.20264223564536,0.00254429059442976,0.0568920672365829,0.210461658187834,0.104752637287626,0.00224623630327176,0.0502273706764348,0.116150153707392,0.037145254580865,0.0016549576822408,0.0370059787737593,0.0524068079351451,0.0103071989491694,0.00163166098422491,0.0364850487696112,0.0378778935044073,-0.0259928652276329,0.00206009166477649,0.0460650500232095,0.0528523783638485,0.00815860789204104,0.00173341804317806,0.038760405779708,0.0395717980490056,-0.0705225233009488,0.00196403423784384,0.0439171406595581,0.0830559095185698,-0.0229438996723356,0.00171185181634812,0.0382781702876089,0.0445949595369281,-0.0921710922114465,0.00166809687749147,0.0372997801112606,0.0994183146538235,500,0
log2,0,FALSE,0.7,30,0.508112506052381,0.00179061173608118,0.0400392956318643,0.50968446877567,0.240499861042686,0.0012109417223549,0.0270774800797623,0.242016335624615,0.0462183721432008,0.000827605389987131,0.0185058191055645,0.049778693571183,0.0094155977709629,0.000792682675494632,0.017724923469924,0.0200548759052554,0.088475917288396,0.00123445370824101,0.027603224067036,0.0926736318645185,0.0436062781842097,0.000869550085484916,0.0194437310098502,0.047736883594459,-0.0250538910700698,0.00103484325211498,0.0231397985778605,0.0340892480911274,-0.00239128200095684,0.000842818935943472,0.0188460043349364,0.0189784025998438,-0.088700134059398,0.00094220439172608,0.0210683306859836,0.0911630439977371,500,0
log2,0.1,FALSE,0.5,30,0.427530795351216,0.00158026975385134,0.0353359059239846,0.428985675714956,0.249287397408488,0.00131341004675507,0.029368741468755,0.251007976837799,0.042096225043371,0.000814608291677265,0.0182151951522534,0.0458608974036481,0.00891180281091164,0.000807606918262262,0.0180586396833353,0.0201216914701195,0.0455074844670496,0.00116477760392966,0.0260452190105604,0.0524206816911055,0.0331788989641442,0.000870376798893847,0.0194622168836531,0.0384559444914202,-0.0272819985390917,0.00109034508779504,0.0243808573524268,0.0365724595442514,-0.00286633052981244,0.000861061625310729,0.0192539232701124,0.0194470559436365,-0.0878265163541359,0.00101771301706653,0.0227567548774716,0.0907211724332942,500,0
log2,0.1,FALSE,0.7,30,0.506408691053844,0.00177059193526197,0.0395916392765867,0.507950908336302,0.238743774135397,0.00126302314963194,0.0282420561973291,0.240405091874507,0.0449597419424863,0.00081080921096608,0.0181302451250312,0.0484708858207902,0.00835602127346657,0.00080212353629426,0.0179360275350649,0.0197707049215184,0.0862599929800785,0.00116127934667355,0.025966995600286,0.0900762048473816,0.0427912396682419,0.000835844598278163,0.0186900534037598,0.0466873607348696,-0.0272304463831135,0.00101871439348671,0.0227791463349376,0.0354873067301059,-0.00324070761482409,0.000828367976094003,0.0185228710493011,0.0187859720070588,-0.0887669243098149,0.000919126841861533,0.0205523009834709,0.0911104776246297,500,0
log2,0.2,FALSE,0.5,30,0.430901628053308,0.0015082042167098,0.0337244715251493,0.43221670300751,0.251576223017288,0.00123826992570542,0.0276885572837094,0.253092312960486,0.0435438824850827,0.000795801572343462,0.017794664123612,0.0470328233577819,0.0103048556426697,0.000789502166917558,0.0176538051361105,0.0204260513053418,0.0487797998264059,0.00110036097644562,0.0246048194312045,0.0546228451846655,0.0347189297358628,0.000839820105587206,0.0187789484496404,0.0394632447863614,-0.0242425051700191,0.00102614826809111,0.022945372824454,0.0333636959988471,-0.00125586428067781,0.000831127086269405,0.0185845666283972,0.0186083997061351,-0.0865933572122997,0.000911593922889126,0.0203838597945579,0.0889554958950872,500,0
log2,0.2,FALSE,0.7,30,0.508641128671858,0.00181226869707502,0.0405235600015472,0.510249617710734,0.240456556505692,0.00125618380895751,0.0280891238906361,0.24208836496155,0.0463973186067213,0.000853890564831274,0.0190935734830842,0.0501651930440901,0.00984815469732703,0.000839366095867879,0.0187687964836918,0.0211789833784777,0.0870368893538298,0.00124073787741046,0.0277437423614859,0.0913432861141468,0.0441343186667857,0.000912572646773107,0.0204057447259157,0.0486148096074128,-0.0263457139902986,0.00108170276032628,0.0241876090353872,0.0357486642498103,-0.00185674946995595,0.000896265697161515,0.0200411102475439,0.0201069720830483,-0.0879087561961715,0.00102466733614396,0.0229122581794153,0.0908398098175483,500,0
log2,0.5,FALSE,0.5,10,0.202477456986851,0.0024323167019713,0.0543882548841593,0.209640851678931,0.112858618565018,0.00221284090601337,0.0494806268923813,0.123209186172103,0.042939864481639,0.00163627857077015,0.0365883011436826,0.0563902326180799,0.0134535269482658,0.00160376250039298,0.0358612197064374,0.0382681644715739,-0.0251190522598236,0.00205376583866341,0.0459236002511825,0.0523041670647961,0.0116243977236628,0.00171980074161489,0.0384559136600545,0.0401375909002596,-0.0663208311995955,0.00196239295387817,0.0438804404343819,0.0794990233752286,-0.0183237347234597,0.00167916635943009,0.0375473012521652,0.041746131388117,-0.0885985258765588,0.00162068362864732,0.0362395876367643,0.0957098734935838,500,0
log2,0.5,FALSE,0.5,30,0.433967105013175,0.00157110727688585,0.0351310267106134,0.43538393274578,0.253839870173479,0.00128248370740543,0.028677207497945,0.255451398812199,0.0439454347442743,0.000842537778906709,0.0188397174724709,0.0478061326546804,0.0108446774490933,0.00082120500303931,0.0183627021025882,0.0213101262273655,0.0491470724725422,0.00110490875138583,0.0247065107703314,0.0549965961102769,0.0350002748374987,0.000884587833828327,0.0197799852850943,0.0401930909603035,-0.0240545024844528,0.00101492658491936,0.022694448360514,0.03305490886676,-0.000984450887563493,0.000860047489930484,0.0192312465136263,0.0192372114489848,-0.085661394551568,0.00097963664736179,0.0219053413675095,0.0884124358276915,500,0
log2,0.5,FALSE,0.7,10,0.205699426735358,0.00250488003361297,0.0560108203064057,0.213174087840592,0.106297857217166,0.00219359089343591,0.0490501835254719,0.117048464799141,0.0391850996956151,0.00161088378255106,0.0360204564163616,0.0532010373210656,0.0117563027566894,0.00160299289654931,0.0358440108413354,0.0376886479125257,-0.0213356035771045,0.00209405442255314,0.046824480374129,0.0514135670653373,0.0117862601663259,0.00171005068464788,0.0382378957584271,0.0399765972463464,-0.0664591774355317,0.00197046149221862,0.044060858436465,0.0797138557157623,-0.0198352391017642,0.00170155330705368,0.0380478886191161,0.0428740394054499,-0.0885372407686741,0.00166664941428437,0.0372674138500007,0.0960464753009045,500,0
log2,0.5,FALSE,0.7,30,0.509474670373126,0.0017146642551909,0.0383410583319589,0.51091245476335,0.240331268010381,0.00124787668456862,0.0279033709423249,0.241942471048807,0.0457887760977822,0.000808053351110324,0.0180686222252919,0.0492182301127835,0.00904792694835654,0.000791374759787621,0.0176956775856269,0.019858895066615,0.0868660297308335,0.00117795278552835,0.0263398250272661,0.0907640123115991,0.0435572427448168,0.00086050847572948,0.0192415544694585,0.0476101915465085,-0.0270624981862941,0.00103121288069842,0.0230586210051504,0.0355389281033773,-0.0027683908863867,0.000843323092477895,0.0188572776177591,0.0190407382581339,-0.0876363359536977,0.000962805041634941,0.0215289752217524,0.0902368946714148,500,0
log2,0.5,TRUE,0.5,30,0.434126730589661,0.00169338489875875,0.0378652374569617,0.435771645323242,0.252828855181957,0.00127380078818001,0.0284830515216332,0.25442502170218,0.0445594519868739,0.000813094549107558,0.0181813468393904,0.0481190711830449,0.0110245700075149,0.000802775533975687,0.0179506066464333,0.0210504388141346,0.0492680877087828,0.00114176785789433,0.0255307054477603,0.0554784440418013,0.0356791396694383,0.000859179515762881,0.0192118380212115,0.0405136710045417,-0.0251325319277662,0.00106207224341631,0.0237486573329458,0.0345617547119303,-0.00111535658897788,0.000851653479050841,0.0190435507243187,0.0190571648169894,-0.085486730690071,0.000914764611259996,0.0204547585418852,0.0878950594560897,500,0
log2,0.5,TRUE,0.7,30,0.51517618054393,0.00178263339823923,0.0398608945742438,0.516712889460152,0.242794032324869,0.00117815464785382,0.0263443388060847,0.244216253085918,0.0479187049668699,0.000825739353692322,0.0184640932655277,0.0513463063943239,0.0100187082602177,0.000789187868227392,0.0176467772037459,0.0202770915910208,0.0914529622466267,0.00119754391756596,0.0267778960571889,0.0952851820038039,0.046007894119531,0.000886495934930321,0.0198226517228143,0.050088700997284,-0.0260705257291912,0.00101622648607625,0.0227235150340225,0.0345687392166226,-0.00187223469279407,0.000851116302836247,0.0190315390990014,0.0191044587534106,-0.0871255152585179,0.000981381331358928,0.0219443536876781,0.0898412319512294,500,0
