path,md5,bytes,csv_header,static_validation
simulations/dynamics/results/sim_feedback_carryover_timing.csv,9ef0aa9056ec7f54aecdbc64e7976626,170,phi|beta2|rho_Z|elapsed_s|total_s,PASS
simulations/dynamics/results/sim_jensen_two_period_summary.csv,05b6961ce53319b442c4dfb42f6d8b1e,1578,scenario|att_true|spec|mean_estimate|bias|rmse|coverage|mcse|n_sims,PASS
simulations/dynamics/results/sim_jensen_two_period_raw.csv,211e6fbdf9d0f396b5b6d0794b696b91,954442,spec|estimate|std_error|conf_low|conf_high|p_value|rep|scenario|att_true|treat_share|n_units|n_obs,PASS
simulations/dynamics/results/sim_jensen_two_period_decomp.csv,c5920edb0167065bf293eb6c82d7a286,1236,scenario|mean_base|mean_tvc|mean_safe|mean_full|achieved_base_minus_safe|achieved_full_minus_safe|achieved_tvc_minus_base|mcse_base_minus_safe|mcse_full_minus_safe|mcse_tvc_minus_base|target_base_minus_safe|target_full_minus_safe|target_tvc_minus_base|gap_base_minus_safe|gap_full_minus_safe|gap_tvc_minus_base,PASS
simulations/dynamics/results/sim_jensen_two_period_scenarios.csv,37443c176cf62a6456d0d8abe58e06fa,993,sigma_alpha|lambda_post|v_intercept|v_x1|v_x2|d_intercept|d_x1|d_x2|d_v|y_v|y_x1|y_x2|sigma_y0|sigma_y1|sigma_zm0|sigma_zm1|sigma_zc0|sigma_zc1|zm0_x1|zm0_x2|zc0_x1|zc0_x2|zm_ar|zc_ar|zm_x1|zm_x2|zc_x1|zc_x2|zm_u|zc_u|y_zm|y_zc|y_u|tau_direct|zm_d|zc_d|target_base_minus_safe|target_full_minus_safe|target_tvc_minus_base|scenario|att_true,PASS
simulations/v4_mechanisms/results/sim_mechC_adl_results.csv,039b09403a568bb4f9fb8bf290935059,41977,prob_switch|delta_D|delta_Y|rho_Z|twfe_s_bias|twfe_s_mcse|twfe_s_sd|twfe_s_rmse|twfe_l_bias|twfe_l_mcse|twfe_l_sd|twfe_l_rmse|adl_Ylag_bias|adl_Ylag_mcse|adl_Ylag_sd|adl_Ylag_rmse|adl_full_bias|adl_full_mcse|adl_full_sd|adl_full_rmse|adl_Dlag_bias|adl_Dlag_mcse|adl_Dlag_sd|adl_Dlag_rmse|adl_DYlag_bias|adl_DYlag_mcse|adl_DYlag_sd|adl_DYlag_rmse|adl_DZlag_bias|adl_DZlag_mcse|adl_DZlag_sd|adl_DZlag_rmse|adl_all_bias|adl_all_mcse|adl_all_sd|adl_all_rmse|adl_all_nofe_bias|adl_all_nofe_mcse|adl_all_nofe_sd|adl_all_nofe_rmse|mean_theta|mean_pi|mean_ivb|mean_ivb_formula|mean_se_short|mean_se_long|mean_se_adl_all|mean_abs_ivb_over_beta|mean_abs_ivb_over_se|n_sims|n_explosive|n_collinear|n_discarded,PASS
simulations/v4_mechanisms/results/sim_mechC_adl_raw.csv,e37935d7650b9d3d4e04e1b3c09057ca,6346856,twfe_s.D|twfe_l.D|adl_Ylag.D|adl_full.D|adl_Dlag.D|adl_DYlag.D|adl_DZlag.D|adl_all.D|adl_all_nofe.D|theta|pi_hat|se_short|se_long|se_adl_all|sim|prob_switch|delta_D|delta_Y|rho_Z,PASS
simulations/v4_mechanisms/results/sim_mechC_adl_timing.csv,c51e858d3a69a19a39cc7b2e0392ccf9,65,step|elapsed_sec|n_scenarios|n_reps|n_workers,PASS
simulations/nonlinearity/results/sim_nl_carryover_results.csv,f4b50985d3d11960dfd8c8a73e0e0ef1,9818,carryover_type|beta_nl|rho_Z|twfe_s_bias|twfe_s_mcse|twfe_s_sd|twfe_s_rmse|twfe_l_bias|twfe_l_mcse|twfe_l_sd|twfe_l_rmse|adl_Ylag_bias|adl_Ylag_mcse|adl_Ylag_sd|adl_Ylag_rmse|adl_full_bias|adl_full_mcse|adl_full_sd|adl_full_rmse|adl_Dlag_bias|adl_Dlag_mcse|adl_Dlag_sd|adl_Dlag_rmse|adl_DYlag_bias|adl_DYlag_mcse|adl_DYlag_sd|adl_DYlag_rmse|adl_DZlag_bias|adl_DZlag_mcse|adl_DZlag_sd|adl_DZlag_rmse|adl_all_bias|adl_all_mcse|adl_all_sd|adl_all_rmse|adl_all_nofe_bias|adl_all_nofe_mcse|adl_all_nofe_sd|adl_all_nofe_rmse|n_sims|k|n_discarded,PASS
simulations/nonlinearity/results/sim_nl_carryover_raw.csv,a6c6a2ffa520f862bfc94cfa742275f4,1149275,twfe_s.D|twfe_l.D|adl_Ylag.D|adl_full.D|adl_Dlag.D|adl_DYlag.D|adl_DZlag.D|adl_all.D|adl_all_nofe.D|sim|carryover_type|beta_nl|k|rho_Z,PASS
simulations/nonlinearity/results/sim_nl_carryover_timing.csv,faa3636f05c4115bfab0d87a0127af6d,708,carryover_type|beta_nl|k|rho_Z|elapsed_s|n_discarded|total_s,PASS
simulations/nonlinearity/results/sim_nl_collider_results.csv,effdf1df03d76b36f1cb0b5850373bed,58965,nl_type|nl_strength|nl_Y|rho_Z|TT|twfe_s_bias|twfe_s_mcse|twfe_s_sd|twfe_s_rmse|twfe_l_bias|twfe_l_mcse|twfe_l_sd|twfe_l_rmse|adl_Ylag_bias|adl_Ylag_mcse|adl_Ylag_sd|adl_Ylag_rmse|adl_full_bias|adl_full_mcse|adl_full_sd|adl_full_rmse|adl_Dlag_bias|adl_Dlag_mcse|adl_Dlag_sd|adl_Dlag_rmse|adl_DYlag_bias|adl_DYlag_mcse|adl_DYlag_sd|adl_DYlag_rmse|adl_DZlag_bias|adl_DZlag_mcse|adl_DZlag_sd|adl_DZlag_rmse|adl_all_bias|adl_all_mcse|adl_all_sd|adl_all_rmse|adl_all_nofe_bias|adl_all_nofe_mcse|adl_all_nofe_sd|adl_all_nofe_rmse|n_sims|n_discarded,PASS
simulations/nonlinearity/results/sim_nl_collider_raw.csv,a4d990e1c4b9ccb5c4a4e3a8f90114d2,7206890,twfe_s.D|twfe_l.D|adl_Ylag.D|adl_full.D|adl_Dlag.D|adl_DYlag.D|adl_DZlag.D|adl_all.D|adl_all_nofe.D|sim|nl_type|nl_strength|nl_Y|rho_Z|TT,PASS
simulations/nonlinearity/results/sim_nl_collider_timing.csv,7cd3ff8c0de40e0b951fdec1bc1f7d06,2738,nl_type|nl_strength|nl_Y|rho_Z|TT|n_discarded|total_s,PASS
