scenario_id,estimator_id,estimator_label,N,T,rho_Y,bias,mean_delta_z,coverage,phase_condition
P_N050_T50_RY80,fe_adl,FE-ADL within,50,50,0.8,0.00433992343029591,-0.0345363701600281,0.932,FALSE
P_N050_T50_RY80,hpj_fe_adl,Split-panel jackknife FE-ADL,50,50,0.8,0.00509815970047996,-0.0357946162203257,0.92,FALSE
P_N100_T08_RY20,fe_adl,FE-ADL within,100,8,0.2,0.01854870057065,-0.0294042544471701,0.898,FALSE
P_N100_T08_RY20,hpj_fe_adl,Split-panel jackknife FE-ADL,100,8,0.2,0.0340329649921787,-0.0359964246657735,0.848,FALSE
P_N100_T08_RY50,fe_adl,FE-ADL within,100,8,0.5,0.0145899653652937,-0.0285551428421291,0.938,FALSE
P_N100_T08_RY50,hpj_fe_adl,Split-panel jackknife FE-ADL,100,8,0.5,0.0451620457750924,-0.0349977082412947,0.82,TRUE
P_N100_T08_RY80,fe_adl,FE-ADL within,100,8,0.8,-0.015179244754424,-0.0269771838655435,0.932,FALSE
P_N100_T08_RY80,hpj_fe_adl,Split-panel jackknife FE-ADL,100,8,0.8,0.0343961713340056,-0.0339791812683356,0.878,TRUE
P_N100_T10_RY20,fe_adl,FE-ADL within,100,10,0.2,0.0157538242863716,-0.0316720576680012,0.918,FALSE
P_N100_T10_RY20,hpj_fe_adl,Split-panel jackknife FE-ADL,100,10,0.2,0.0207145540636404,-0.0381323662151438,0.916,FALSE
P_N100_T10_RY50,fe_adl,FE-ADL within,100,10,0.5,0.0157373182475793,-0.0303556820184076,0.916,FALSE
P_N100_T10_RY50,hpj_fe_adl,Split-panel jackknife FE-ADL,100,10,0.5,0.0330389232841052,-0.0357173639266306,0.84,FALSE
P_N100_T10_RY80,fe_adl,FE-ADL within,100,10,0.8,-0.00742155564586168,-0.029049675035568,0.958,FALSE
P_N100_T10_RY80,hpj_fe_adl,Split-panel jackknife FE-ADL,100,10,0.8,0.0293171122070409,-0.0352488961676015,0.866,FALSE
P_N100_T15_RY20,fe_adl,FE-ADL within,100,15,0.2,0.0138713947167987,-0.0328480801513889,0.92,FALSE
P_N100_T15_RY20,hpj_fe_adl,Split-panel jackknife FE-ADL,100,15,0.2,0.0106744568284551,-0.0371642307390381,0.924,FALSE
P_N100_T15_RY50,fe_adl,FE-ADL within,100,15,0.5,0.0128958214033681,-0.0318118316006579,0.928,FALSE
P_N100_T15_RY50,hpj_fe_adl,Split-panel jackknife FE-ADL,100,15,0.5,0.0149606616157189,-0.0357386895343069,0.916,FALSE
P_N100_T15_RY80,fe_adl,FE-ADL within,100,15,0.8,0.000280595488343068,-0.0320101244947898,0.934,FALSE
P_N100_T15_RY80,hpj_fe_adl,Split-panel jackknife FE-ADL,100,15,0.8,0.0181423650797038,-0.0367937345727881,0.9,FALSE
P_N100_T20_RY20,fe_adl,FE-ADL within,100,20,0.2,0.0153519701041317,-0.0343522890909389,0.888,FALSE
P_N100_T20_RY20,hpj_fe_adl,Split-panel jackknife FE-ADL,100,20,0.2,0.009781799168917,-0.0379536989954045,0.922,FALSE
P_N100_T20_RY50,fe_adl,FE-ADL within,100,20,0.5,0.0123099333682822,-0.0329838697399556,0.898,FALSE
P_N100_T20_RY50,hpj_fe_adl,Split-panel jackknife FE-ADL,100,20,0.5,0.010105189989944,-0.0358874676303337,0.936,FALSE
P_N100_T20_RY80,fe_adl,FE-ADL within,100,20,0.8,0.00270770638750831,-0.0327832545797937,0.942,FALSE
P_N100_T20_RY80,hpj_fe_adl,Split-panel jackknife FE-ADL,100,20,0.8,0.0135080082971406,-0.036420547553937,0.912,FALSE
P_N100_T30_RY20,fe_adl,FE-ADL within,100,30,0.2,0.0101376600494655,-0.0358408033007121,0.924,FALSE
P_N100_T30_RY20,hpj_fe_adl,Split-panel jackknife FE-ADL,100,30,0.2,0.00439807017242913,-0.0381150936737182,0.958,FALSE
P_N100_T30_RY50,fe_adl,FE-ADL within,100,30,0.5,0.0090560300393666,-0.0332706044743301,0.906,FALSE
P_N100_T30_RY50,hpj_fe_adl,Split-panel jackknife FE-ADL,100,30,0.5,0.00465502353512249,-0.0349402561429482,0.93,FALSE
P_N100_T30_RY80,fe_adl,FE-ADL within,100,30,0.8,0.00444492239513197,-0.0335192524356755,0.924,FALSE
P_N100_T30_RY80,hpj_fe_adl,Split-panel jackknife FE-ADL,100,30,0.8,0.00854031856450603,-0.03572178010061,0.912,FALSE
P_N100_T50_RY20,fe_adl,FE-ADL within,100,50,0.2,0.00599311529289603,-0.0365133978766091,0.916,FALSE
P_N100_T50_RY20,hpj_fe_adl,Split-panel jackknife FE-ADL,100,50,0.2,0.00130993145664841,-0.0378789212668317,0.932,FALSE
P_N100_T50_RY50,fe_adl,FE-ADL within,100,50,0.5,0.00655608356880437,-0.0337492868288733,0.924,FALSE
P_N100_T50_RY50,hpj_fe_adl,Split-panel jackknife FE-ADL,100,50,0.5,0.00208918164714728,-0.0344627944003633,0.942,FALSE
P_N100_T50_RY80,fe_adl,FE-ADL within,100,50,0.8,0.00508014539282245,-0.0345136964864792,0.928,FALSE
P_N100_T50_RY80,hpj_fe_adl,Split-panel jackknife FE-ADL,100,50,0.8,0.00546242245974498,-0.0355970012465871,0.936,FALSE
P_N250_T08_RY20,fe_adl,FE-ADL within,250,8,0.2,0.0179806218840629,-0.0289015977389,0.878,FALSE
